timestamp,demographic vo2max,data source
2020-12-21T00:00:00Z,37.44897,Fitbit App
2020-12-22T00:00:00Z,37.68355,Fitbit App
2020-12-23T00:00:00Z,37.96839,Fitbit App
2020-12-24T00:00:00Z,38.17073,Fitbit App
2020-12-25T00:00:00Z,38.33251,Fitbit App
2020-12-26T00:00:00Z,38.38985,Fitbit App
2020-12-27T00:00:00Z,38.42217,Fitbit App
2020-12-28T00:00:00Z,38.41404,Fitbit App
2020-12-29T00:00:00Z,38.44732,Fitbit App
2020-12-30T00:00:00Z,38.45728,Fitbit App
2020-12-31T00:00:00Z,38.39721,Fitbit App
2021-01-01T00:00:00Z,38.32024,Fitbit App
2021-01-02T00:00:00Z,38.28669,Fitbit App
2021-01-03T00:00:00Z,38.24523,Fitbit App
2021-01-04T00:00:00Z,38.15208,Fitbit App
2021-01-05T00:00:00Z,38.09763,Fitbit App
2021-01-06T00:00:00Z,38.13521,Fitbit App
2021-01-07T00:00:00Z,38.24619,Fitbit App
2021-01-08T00:00:00Z,38.392,Fitbit App
2021-01-09T00:00:00Z,38.52712,Fitbit App
2021-01-10T00:00:00Z,38.6424,Fitbit App
2021-01-11T00:00:00Z,38.72742,Fitbit App
2021-01-12T00:00:00Z,38.77204,Fitbit App
2021-01-13T00:00:00Z,38.79567,Fitbit App
2021-01-14T00:00:00Z,38.85625,Fitbit App
2021-01-15T00:00:00Z,38.90324,Fitbit App
2021-01-16T00:00:00Z,38.925,Fitbit App
2021-01-17T00:00:00Z,38.88621,Fitbit App
2021-01-18T00:00:00Z,38.92476,Fitbit App
2021-01-19T00:00:00Z,39.02948,Fitbit App
2021-01-20T00:00:00Z,39.18866,Fitbit App
2021-01-21T00:00:00Z,39.28887,Fitbit App
2021-01-22T00:00:00Z,39.30775,Fitbit App
2021-01-23T00:00:00Z,39.30676,Fitbit App
2021-01-24T00:00:00Z,39.31357,Fitbit App
2021-01-25T00:00:00Z,39.36862,Fitbit App
2021-01-28T00:00:00Z,39.4318,Fitbit App
2021-01-29T00:00:00Z,39.52092,Fitbit App
2021-01-30T00:00:00Z,39.59079,Fitbit App
2021-01-31T00:00:00Z,39.68006,Fitbit App
2021-02-01T00:00:00Z,39.81353,Fitbit App
2021-02-02T00:00:00Z,39.92311,Fitbit App
2021-02-03T00:00:00Z,40.0383,Fitbit App
2021-02-04T00:00:00Z,40.07086,Fitbit App
2021-02-05T00:00:00Z,40.09214,Fitbit App
2021-02-06T00:00:00Z,40.10484,Fitbit App
2021-02-07T00:00:00Z,40.08372,Fitbit App
2021-02-08T00:00:00Z,40.09649,Fitbit App
2021-02-09T00:00:00Z,40.15932,Fitbit App
2021-02-10T00:00:00Z,40.20779,Fitbit App
2021-02-11T00:00:00Z,40.25261,Fitbit App
2021-02-12T00:00:00Z,40.46568,Fitbit App
2021-02-13T00:00:00Z,40.56991,Fitbit App
2021-02-14T00:00:00Z,40.65236,Fitbit App
2021-02-15T00:00:00Z,40.66752,Fitbit App
2021-02-16T00:00:00Z,40.7039,Fitbit App
2021-02-17T00:00:00Z,40.6511,Fitbit App
2021-02-18T00:00:00Z,40.59436,Fitbit App
2021-02-19T00:00:00Z,40.60718,Fitbit App
2021-02-20T00:00:00Z,40.70667,Fitbit App
2021-02-21T00:00:00Z,40.82754,Fitbit App
2021-02-22T00:00:00Z,40.86243,Fitbit App
2021-02-23T00:00:00Z,40.82069,Fitbit App
2021-02-24T00:00:00Z,40.6873,Fitbit App
2021-02-25T00:00:00Z,40.56771,Fitbit App
2021-02-26T00:00:00Z,40.51493,Fitbit App
2021-02-27T00:00:00Z,40.53656,Fitbit App
2021-02-28T00:00:00Z,40.49266,Fitbit App
2021-03-01T00:00:00Z,40.40834,Fitbit App
2021-03-02T00:00:00Z,40.32702,Fitbit App
2021-03-03T00:00:00Z,40.31774,Fitbit App
2021-03-04T00:00:00Z,40.2596,Fitbit App
2021-03-05T00:00:00Z,40.2775,Fitbit App
2021-03-06T00:00:00Z,40.22387,Fitbit App
2021-03-07T00:00:00Z,40.21598,Fitbit App
2021-03-08T00:00:00Z,40.14261,Fitbit App
2021-03-09T00:00:00Z,40.06522,Fitbit App
