start time,end time,data source
2023-04-22T03:55:00Z,2023-04-22T04:08:00Z,Fitbit App
2023-04-22T04:30:00Z,2023-04-22T05:14:00Z,Fitbit App
2023-04-22T05:15:00Z,2023-04-22T06:07:00Z,Fitbit App
2023-04-22T06:09:00Z,2023-04-22T07:05:00Z,Fitbit App
2023-04-22T07:39:00Z,2023-04-22T08:14:00Z,Fitbit App
2023-04-22T09:50:00Z,2023-04-22T10:04:00Z,Fitbit App
2023-04-22T10:18:00Z,2023-04-22T10:28:00Z,Fitbit App
2023-04-22T11:02:00Z,2023-04-22T11:14:00Z,Fitbit App
2023-04-22T12:10:00Z,2023-04-22T12:22:00Z,Fitbit App
2023-04-22T12:35:00Z,2023-04-22T12:59:00Z,Fitbit App
2023-04-22T13:04:00Z,2023-04-22T13:40:00Z,Fitbit App
2023-04-22T13:43:00Z,2023-04-22T14:12:00Z,Fitbit App
2023-04-22T14:13:00Z,2023-04-22T14:32:00Z,Fitbit App
2023-04-22T14:36:00Z,2023-04-22T15:20:00Z,Fitbit App
2023-04-22T15:21:00Z,2023-04-22T15:32:00Z,Fitbit App
2023-04-22T15:33:00Z,2023-04-22T16:03:00Z,Fitbit App
2023-04-22T16:25:00Z,2023-04-22T16:57:00Z,Fitbit App
2023-04-22T16:58:00Z,2023-04-22T19:03:00Z,Fitbit App
2023-04-22T19:04:00Z,2023-04-22T20:17:00Z,Fitbit App
