timestamp,heart rate zone,total minutes,data source
2022-03-01T07:12:00Z,FAT_BURN,1,Charge 4
2022-03-01T07:13:00Z,FAT_BURN,1,Charge 4
2022-03-01T07:14:00Z,FAT_BURN,1,Charge 4
2022-03-01T07:15:00Z,FAT_BURN,1,Charge 4
2022-03-01T13:57:00Z,FAT_BURN,1,Charge 4
2022-03-01T18:06:00Z,FAT_BURN,1,Charge 4
2022-03-01T21:16:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:32:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:33:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:38:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:39:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:42:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:43:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:46:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:49:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:50:00Z,FAT_BURN,1,Charge 4
2022-03-04T15:59:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:09:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:10:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:13:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:26:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:29:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:30:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:31:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:39:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:40:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:41:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:42:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:43:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:46:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:47:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:48:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:49:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:55:00Z,FAT_BURN,1,Charge 4
2022-03-04T16:56:00Z,FAT_BURN,1,Charge 4
2022-03-04T17:09:00Z,FAT_BURN,1,Charge 4
2022-03-04T17:14:00Z,FAT_BURN,1,Charge 4
2022-03-04T17:16:00Z,FAT_BURN,1,Charge 4
2022-03-04T20:15:00Z,FAT_BURN,1,Charge 4
2022-03-04T22:09:00Z,FAT_BURN,1,Charge 4
2022-03-04T22:10:00Z,FAT_BURN,1,Charge 4
2022-03-04T22:11:00Z,FAT_BURN,1,Charge 4
2022-03-05T14:51:00Z,FAT_BURN,1,Charge 4
2022-03-05T14:52:00Z,FAT_BURN,1,Charge 4
2022-03-05T14:53:00Z,FAT_BURN,1,Charge 4
2022-03-05T14:54:00Z,FAT_BURN,1,Charge 4
2022-03-05T14:57:00Z,FAT_BURN,1,Charge 4
2022-03-05T14:59:00Z,FAT_BURN,1,Charge 4
2022-03-05T15:04:00Z,FAT_BURN,1,Charge 4
2022-03-05T15:05:00Z,FAT_BURN,1,Charge 4
2022-03-05T15:06:00Z,FAT_BURN,1,Charge 4
2022-03-05T15:07:00Z,FAT_BURN,1,Charge 4
2022-03-05T15:08:00Z,FAT_BURN,1,Charge 4
2022-03-05T15:09:00Z,FAT_BURN,1,Charge 4
2022-03-05T15:10:00Z,FAT_BURN,1,Charge 4
