timestamp,temperature celsius,data source
2024-08-28T02:26:00Z,25.5,Charge 5
2024-08-28T02:27:00Z,25.5,Charge 5
2024-08-28T02:28:00Z,25.4,Charge 5
2024-08-28T02:29:00Z,25.4,Charge 5
2024-08-28T02:30:00Z,25.4,Charge 5
2024-08-28T02:31:00Z,25.4,Charge 5
2024-08-28T02:32:00Z,25.4,Charge 5
2024-08-28T02:33:00Z,25.4,Charge 5
2024-08-28T02:34:00Z,25.4,Charge 5
2024-08-28T02:35:00Z,25.4,Charge 5
2024-08-28T02:36:00Z,25.4,Charge 5
2024-08-28T02:37:00Z,25.4,Charge 5
2024-08-28T02:38:00Z,25.4,Charge 5
2024-08-28T02:39:00Z,25.4,Charge 5
2024-08-28T02:40:00Z,25.4,Charge 5
