start time,end time,data source
2025-01-05T01:16:00Z,2025-01-05T01:47:00Z,Fitbit App
2025-01-05T01:51:00Z,2025-01-05T02:42:00Z,Fitbit App
2025-01-05T08:02:00Z,2025-01-05T08:28:00Z,Fitbit App
2025-01-05T08:46:00Z,2025-01-05T09:09:00Z,Fitbit App
2025-01-05T10:44:00Z,2025-01-05T12:04:00Z,Fitbit App
2025-01-05T12:17:00Z,2025-01-05T12:27:00Z,Fitbit App
2025-01-05T12:33:00Z,2025-01-05T13:05:00Z,Fitbit App
2025-01-05T13:07:00Z,2025-01-05T13:49:00Z,Fitbit App
2025-01-05T13:58:00Z,2025-01-05T14:16:00Z,Fitbit App
2025-01-05T14:17:00Z,2025-01-05T14:52:00Z,Fitbit App
2025-01-05T15:04:00Z,2025-01-05T16:36:00Z,Fitbit App
2025-01-05T18:28:00Z,2025-01-05T19:47:00Z,Fitbit App
2025-01-05T19:49:00Z,2025-01-05T20:09:00Z,Fitbit App
2025-01-05T20:30:00Z,2025-01-05T21:20:00Z,Fitbit App
2025-01-05T21:32:00Z,2025-01-05T22:36:00Z,Fitbit App
