timestamp,heart rate zone,total minutes,data source
2022-10-01T16:37:00Z,FAT_BURN,1,Charge 4
2022-10-01T17:18:00Z,FAT_BURN,1,Charge 4
2022-10-01T17:28:00Z,FAT_BURN,1,Charge 4
2022-10-01T17:31:00Z,FAT_BURN,1,Charge 4
2022-10-01T17:54:00Z,FAT_BURN,1,Charge 4
2022-10-01T17:56:00Z,FAT_BURN,1,Charge 4
2022-10-01T21:09:00Z,FAT_BURN,1,Charge 4
2022-10-01T21:36:00Z,FAT_BURN,1,Charge 4
2022-10-01T21:37:00Z,FAT_BURN,1,Charge 4
2022-10-02T14:06:00Z,FAT_BURN,1,Charge 4
2022-10-02T22:12:00Z,FAT_BURN,1,Charge 4
2022-10-05T13:58:00Z,FAT_BURN,1,Charge 4
2022-10-05T14:05:00Z,FAT_BURN,1,Charge 4
2022-10-08T15:29:00Z,FAT_BURN,1,Charge 4
2022-10-08T15:30:00Z,FAT_BURN,1,Charge 4
2022-10-08T15:32:00Z,FAT_BURN,1,Charge 4
2022-10-08T15:35:00Z,FAT_BURN,1,Charge 4
2022-10-08T15:36:00Z,FAT_BURN,1,Charge 4
2022-10-09T15:59:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:21:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:22:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:23:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:24:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:25:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:26:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:27:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:28:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:34:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:35:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:36:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:37:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:38:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:41:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:42:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:43:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:44:00Z,FAT_BURN,1,Charge 4
2022-10-09T18:45:00Z,FAT_BURN,1,Charge 4
2022-10-09T20:26:00Z,FAT_BURN,1,Charge 4
2022-10-09T20:31:00Z,FAT_BURN,1,Charge 4
2022-10-09T20:32:00Z,FAT_BURN,1,Charge 4
2022-10-09T20:33:00Z,FAT_BURN,1,Charge 4
2022-10-09T20:34:00Z,FAT_BURN,1,Charge 4
2022-10-09T20:40:00Z,FAT_BURN,1,Charge 4
2022-10-09T20:41:00Z,FAT_BURN,1,Charge 4
2022-10-12T17:27:00Z,FAT_BURN,1,Charge 4
2022-10-12T17:35:00Z,FAT_BURN,1,Charge 4
2022-10-12T17:50:00Z,FAT_BURN,1,Charge 4
2022-10-13T08:23:00Z,FAT_BURN,1,Charge 4
2022-10-13T08:24:00Z,FAT_BURN,1,Charge 4
2022-10-13T10:19:00Z,FAT_BURN,1,Charge 4
2022-10-13T10:21:00Z,FAT_BURN,1,Charge 4
2022-10-13T10:22:00Z,FAT_BURN,1,Charge 4
2022-10-13T10:23:00Z,FAT_BURN,1,Charge 4
2022-10-13T10:24:00Z,FAT_BURN,1,Charge 4
2022-10-13T10:25:00Z,FAT_BURN,1,Charge 4
2022-10-13T11:57:00Z,FAT_BURN,1,Charge 4
2022-10-13T11:58:00Z,FAT_BURN,1,Charge 4
2022-10-13T11:59:00Z,FAT_BURN,1,Charge 4
2022-10-13T12:21:00Z,FAT_BURN,1,Charge 4
2022-10-13T14:33:00Z,FAT_BURN,1,Charge 4
2022-10-13T14:35:00Z,FAT_BURN,1,Charge 4
2022-10-13T14:36:00Z,FAT_BURN,1,Charge 4
2022-10-14T06:44:00Z,FAT_BURN,1,Charge 4
2022-10-15T11:19:00Z,FAT_BURN,1,Charge 4
2022-10-15T11:20:00Z,FAT_BURN,1,Charge 4
2022-10-18T06:19:00Z,FAT_BURN,1,Charge 4
2022-10-18T06:20:00Z,FAT_BURN,1,Charge 4
2022-10-19T04:52:00Z,FAT_BURN,1,Charge 4
2022-10-19T04:53:00Z,FAT_BURN,1,Charge 4
2022-10-19T04:54:00Z,FAT_BURN,1,Charge 4
2022-10-19T04:55:00Z,FAT_BURN,1,Charge 4
2022-10-19T04:56:00Z,FAT_BURN,1,Charge 4
2022-10-19T04:57:00Z,FAT_BURN,1,Charge 4
2022-10-19T04:58:00Z,FAT_BURN,1,Charge 4
2022-10-19T04:59:00Z,FAT_BURN,1,Charge 4
2022-10-19T05:01:00Z,FAT_BURN,1,Charge 4
2022-10-19T06:33:00Z,FAT_BURN,1,Charge 4
2022-10-19T06:34:00Z,FAT_BURN,1,Charge 4
2022-10-19T06:35:00Z,FAT_BURN,1,Charge 4
2022-10-19T06:36:00Z,FAT_BURN,1,Charge 4
2022-10-19T06:39:00Z,FAT_BURN,1,Charge 4
2022-10-19T06:42:00Z,FAT_BURN,1,Charge 4
2022-10-19T06:43:00Z,FAT_BURN,1,Charge 4
2022-10-19T18:09:00Z,FAT_BURN,1,Charge 4
2022-10-19T18:22:00Z,FAT_BURN,1,Charge 4
2022-10-19T19:36:00Z,FAT_BURN,1,Charge 4
2022-10-20T04:18:00Z,FAT_BURN,1,Charge 4
2022-10-20T04:19:00Z,FAT_BURN,1,Charge 4
2022-10-20T04:23:00Z,FAT_BURN,1,Charge 4
