start time,end time,data source
2023-11-19T05:19:00Z,2023-11-19T05:42:00Z,Fitbit App
2023-11-19T05:49:00Z,2023-11-19T05:59:00Z,Fitbit App
2023-11-19T06:08:00Z,2023-11-19T06:20:00Z,Fitbit App
2023-11-19T06:38:00Z,2023-11-19T07:01:00Z,Fitbit App
2023-11-19T07:36:00Z,2023-11-19T08:08:00Z,Fitbit App
2023-11-19T08:30:00Z,2023-11-19T08:40:00Z,Fitbit App
2023-11-19T08:54:00Z,2023-11-19T09:46:00Z,Fitbit App
2023-11-19T09:54:00Z,2023-11-19T10:36:00Z,Fitbit App
2023-11-19T10:37:00Z,2023-11-19T10:58:00Z,Fitbit App
2023-11-19T13:20:00Z,2023-11-19T13:33:00Z,Fitbit App
2023-11-19T13:49:00Z,2023-11-19T14:14:00Z,Fitbit App
2023-11-19T14:42:00Z,2023-11-19T14:55:00Z,Fitbit App
2023-11-19T15:32:00Z,2023-11-19T17:09:00Z,Fitbit App
2023-11-19T17:10:00Z,2023-11-19T17:32:00Z,Fitbit App
2023-11-19T17:33:00Z,2023-11-19T17:45:00Z,Fitbit App
2023-11-19T19:06:00Z,2023-11-19T19:24:00Z,Fitbit App
2023-11-19T19:26:00Z,2023-11-19T19:48:00Z,Fitbit App
2023-11-19T19:55:00Z,2023-11-19T20:29:00Z,Fitbit App
2023-11-19T20:53:00Z,2023-11-19T22:10:00Z,Fitbit App
