timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2024-07-01T00:00:00Z,93.9,92.8,96.0,96.2,1.7,Charge 5
2024-07-02T00:00:00Z,95.4,94.0,97.4,96.1,1.7,Charge 5
2024-07-03T00:00:00Z,94.7,88.9,99.5,96.1,1.7,Charge 5
2024-07-04T00:00:00Z,97.0,94.9,98.8,96.0,1.7,Charge 5
2024-07-05T00:00:00Z,94.7,90.5,98.2,95.9,1.7,Charge 5
2024-07-06T00:00:00Z,95.2,93.4,97.5,95.8,1.6,Charge 5
2024-07-07T00:00:00Z,96.9,95.1,99.4,95.8,1.6,Charge 5
2024-07-08T00:00:00Z,95.3,95.3,95.4,95.8,1.6,Charge 5
2024-07-09T00:00:00Z,96.6,92.4,99.4,95.9,1.6,Charge 5
2024-07-10T00:00:00Z,94.8,93.0,95.5,95.8,1.6,Charge 5
2024-07-11T00:00:00Z,97.3,92.6,99.6,95.9,1.6,Charge 5
2024-07-12T00:00:00Z,97.4,94.6,100.0,95.9,1.6,Charge 5
2024-07-14T00:00:00Z,95.2,91.9,97.3,95.8,1.6,Charge 5
2024-07-15T00:00:00Z,92.0,90.0,95.2,95.6,1.7,Charge 5
2024-07-16T00:00:00Z,95.5,91.9,98.6,95.5,1.6,Charge 5
2024-07-17T00:00:00Z,95.1,91.5,98.2,95.4,1.6,Charge 5
2024-07-19T00:00:00Z,95.0,91.3,97.9,95.4,1.6,Charge 5
2024-07-20T00:00:00Z,94.9,92.2,97.8,95.4,1.6,Charge 5
2024-07-21T00:00:00Z,96.8,94.8,99.0,95.4,1.5,Charge 5
2024-07-22T00:00:00Z,96.9,95.0,98.9,95.4,1.5,Charge 5
2024-07-23T00:00:00Z,93.9,90.2,97.6,95.4,1.6,Charge 5
2024-07-24T00:00:00Z,95.9,94.2,97.7,95.4,1.6,Charge 5
2024-07-25T00:00:00Z,94.6,92.3,96.7,95.3,1.5,Charge 5
2024-07-26T00:00:00Z,94.0,89.9,97.1,95.2,1.5,Charge 5
2024-07-27T00:00:00Z,93.1,93.1,93.1,95.2,1.6,Charge 5
2024-07-28T00:00:00Z,94.3,90.8,97.3,95.3,1.3,Charge 5
