start time,end time,data source
2022-07-03T12:36:00Z,2022-07-03T12:55:00Z,Fitbit App
2022-07-03T13:12:00Z,2022-07-03T13:36:00Z,Fitbit App
2022-07-03T13:37:00Z,2022-07-03T14:14:00Z,Fitbit App
2022-07-03T16:01:00Z,2022-07-03T16:52:00Z,Fitbit App
2022-07-03T17:24:00Z,2022-07-03T20:20:00Z,Fitbit App
2022-07-03T21:01:00Z,2022-07-03T22:00:00Z,Fitbit App
2022-07-03T22:04:00Z,2022-07-03T22:23:00Z,Fitbit App
2022-07-03T22:28:00Z,2022-07-03T22:57:00Z,Fitbit App
2022-07-03T23:01:00Z,2022-07-03T23:15:00Z,Fitbit App
2022-07-03T23:19:00Z,2022-07-04T00:00:00Z,Fitbit App
