timestamp,heart rate zone,total minutes,data source
2021-06-06T17:14:00Z,FAT_BURN,1,Charge 4
2021-06-06T17:15:00Z,FAT_BURN,1,Charge 4
2021-06-06T17:16:00Z,FAT_BURN,1,Charge 4
2021-06-06T17:17:00Z,FAT_BURN,1,Charge 4
2021-06-06T17:18:00Z,FAT_BURN,1,Charge 4
2021-06-06T17:19:00Z,FAT_BURN,1,Charge 4
2021-06-07T07:16:00Z,FAT_BURN,1,Charge 4
2021-06-07T07:34:00Z,FAT_BURN,1,Charge 4
2021-06-07T09:27:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:36:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:37:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:40:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:41:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:42:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:43:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:44:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:45:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:46:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:49:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:50:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:51:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:52:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:53:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:54:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:55:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:56:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:57:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:58:00Z,FAT_BURN,1,Charge 4
2021-06-07T16:59:00Z,FAT_BURN,1,Charge 4
2021-06-07T17:00:00Z,FAT_BURN,1,Charge 4
2021-06-07T17:01:00Z,FAT_BURN,1,Charge 4
2021-06-07T17:02:00Z,FAT_BURN,1,Charge 4
2021-06-07T17:03:00Z,FAT_BURN,1,Charge 4
2021-06-07T17:04:00Z,FAT_BURN,1,Charge 4
2021-06-07T17:05:00Z,FAT_BURN,1,Charge 4
2021-06-07T17:06:00Z,FAT_BURN,1,Charge 4
2021-06-07T17:07:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:19:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:20:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:24:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:25:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:26:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:27:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:28:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:29:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:30:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:32:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:33:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:34:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:35:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:36:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:42:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:43:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:44:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:45:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:46:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:47:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:48:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:49:00Z,FAT_BURN,1,Charge 4
2021-06-08T10:50:00Z,FAT_BURN,1,Charge 4
2021-06-08T11:15:00Z,FAT_BURN,1,Charge 4
2021-06-08T11:16:00Z,FAT_BURN,1,Charge 4
2021-06-08T11:17:00Z,FAT_BURN,1,Charge 4
2021-06-08T11:18:00Z,FAT_BURN,1,Charge 4
2021-06-08T11:19:00Z,FAT_BURN,1,Charge 4
2021-06-08T11:21:00Z,FAT_BURN,1,Charge 4
2021-06-08T11:22:00Z,CARDIO,2,Charge 4
2021-06-08T11:23:00Z,FAT_BURN,1,Charge 4
2021-06-09T14:08:00Z,FAT_BURN,1,Charge 4
2021-06-09T14:09:00Z,FAT_BURN,1,Charge 4
2021-06-09T14:10:00Z,CARDIO,2,Charge 4
2021-06-09T14:11:00Z,CARDIO,2,Charge 4
2021-06-09T14:12:00Z,CARDIO,2,Charge 4
2021-06-09T14:13:00Z,CARDIO,2,Charge 4
2021-06-09T14:14:00Z,CARDIO,2,Charge 4
2021-06-09T14:15:00Z,CARDIO,2,Charge 4
2021-06-09T14:16:00Z,FAT_BURN,1,Charge 4
2021-06-09T16:28:00Z,FAT_BURN,1,Charge 4
2021-06-09T16:29:00Z,FAT_BURN,1,Charge 4
