start time,end time,data source
2021-12-15T00:16:00Z,2021-12-15T00:26:00Z,Fitbit App
2021-12-15T11:01:00Z,2021-12-15T11:56:00Z,Fitbit App
2021-12-15T12:30:00Z,2021-12-15T13:10:00Z,Fitbit App
2021-12-15T13:11:00Z,2021-12-15T14:40:00Z,Fitbit App
2021-12-15T14:41:00Z,2021-12-15T14:57:00Z,Fitbit App
2021-12-15T14:58:00Z,2021-12-15T16:01:00Z,Fitbit App
2021-12-15T16:04:00Z,2021-12-15T16:21:00Z,Fitbit App
2021-12-15T16:22:00Z,2021-12-15T17:50:00Z,Fitbit App
2021-12-15T18:37:00Z,2021-12-15T19:11:00Z,Fitbit App
2021-12-15T19:28:00Z,2021-12-15T19:40:00Z,Fitbit App
2021-12-15T19:59:00Z,2021-12-15T20:14:00Z,Fitbit App
2021-12-15T20:28:00Z,2021-12-15T21:11:00Z,Fitbit App
2021-12-15T21:12:00Z,2021-12-15T21:54:00Z,Fitbit App
2021-12-15T22:00:00Z,2021-12-15T23:00:00Z,Fitbit App
2021-12-15T23:00:00Z,2021-12-15T23:46:00Z,Fitbit App
2021-12-15T23:47:00Z,2021-12-16T00:19:00Z,Fitbit App
