timestamp,beats per minute,data source
2022-01-02T00:00:01Z,79.0,Charge 4
2022-01-02T00:00:16Z,79.0,Charge 4
2022-01-02T00:00:31Z,79.0,Charge 4
2022-01-02T00:00:36Z,78.0,Charge 4
2022-01-02T00:00:41Z,77.0,Charge 4
2022-01-02T00:00:56Z,77.0,Charge 4
2022-01-02T00:01:11Z,77.0,Charge 4
2022-01-02T00:01:26Z,77.0,Charge 4
2022-01-02T00:01:31Z,76.0,Charge 4
2022-01-02T00:01:46Z,79.0,Charge 4
2022-01-02T00:01:51Z,78.0,Charge 4
2022-01-02T00:01:56Z,76.0,Charge 4
2022-01-02T00:02:11Z,75.0,Charge 4
2022-01-02T00:02:16Z,75.0,Charge 4
2022-01-02T00:02:21Z,74.0,Charge 4
2022-01-02T00:02:26Z,74.0,Charge 4
2022-01-02T00:02:31Z,75.0,Charge 4
2022-01-02T00:02:41Z,75.0,Charge 4
2022-01-02T00:02:51Z,76.0,Charge 4
2022-01-02T00:03:06Z,76.0,Charge 4
2022-01-02T00:03:16Z,77.0,Charge 4
2022-01-02T00:03:26Z,77.0,Charge 4
2022-01-02T00:03:41Z,77.0,Charge 4
2022-01-02T00:03:51Z,76.0,Charge 4
2022-01-02T00:03:56Z,75.0,Charge 4
2022-01-02T00:04:01Z,73.0,Charge 4
2022-01-02T00:04:06Z,70.0,Charge 4
2022-01-02T00:04:11Z,71.0,Charge 4
2022-01-02T00:04:16Z,73.0,Charge 4
2022-01-02T00:04:21Z,73.0,Charge 4
2022-01-02T00:04:26Z,74.0,Charge 4
2022-01-02T00:04:41Z,74.0,Charge 4
2022-01-02T00:04:46Z,76.0,Charge 4
2022-01-02T00:04:51Z,73.0,Charge 4
2022-01-02T00:04:56Z,73.0,Charge 4
2022-01-02T00:05:01Z,72.0,Charge 4
2022-01-02T00:05:11Z,75.0,Charge 4
2022-01-02T00:05:16Z,76.0,Charge 4
2022-01-02T00:05:21Z,77.0,Charge 4
2022-01-02T00:05:26Z,79.0,Charge 4
2022-01-02T00:05:36Z,78.0,Charge 4
2022-01-02T00:05:42Z,78.0,Charge 4
2022-01-02T00:05:47Z,78.0,Charge 4
2022-01-02T00:06:02Z,78.0,Charge 4
2022-01-02T00:06:07Z,77.0,Charge 4
2022-01-02T00:06:12Z,76.0,Charge 4
2022-01-02T00:06:17Z,76.0,Charge 4
2022-01-02T00:06:27Z,77.0,Charge 4
2022-01-02T00:06:32Z,76.0,Charge 4
2022-01-02T00:06:37Z,75.0,Charge 4
2022-01-02T00:06:42Z,75.0,Charge 4
2022-01-02T00:06:57Z,75.0,Charge 4
2022-01-02T00:07:02Z,76.0,Charge 4
2022-01-02T00:07:12Z,80.0,Charge 4
2022-01-02T00:07:17Z,83.0,Charge 4
2022-01-02T00:07:22Z,84.0,Charge 4
2022-01-02T00:07:37Z,84.0,Charge 4
2022-01-02T00:07:47Z,86.0,Charge 4
2022-01-02T00:07:52Z,84.0,Charge 4
2022-01-02T00:07:57Z,85.0,Charge 4
2022-01-02T00:08:02Z,84.0,Charge 4
2022-01-02T00:08:17Z,84.0,Charge 4
2022-01-02T00:08:32Z,85.0,Charge 4
2022-01-02T00:08:42Z,82.0,Charge 4
2022-01-02T00:08:47Z,78.0,Charge 4
2022-01-02T00:08:54Z,79.0,Charge 4
2022-01-02T00:08:59Z,81.0,Charge 4
2022-01-02T00:09:04Z,83.0,Charge 4
2022-01-02T00:09:09Z,86.0,Charge 4
2022-01-02T00:09:14Z,87.0,Charge 4
2022-01-02T00:09:19Z,86.0,Charge 4
2022-01-02T00:09:34Z,86.0,Charge 4
2022-01-02T00:09:44Z,85.0,Charge 4
2022-01-02T00:09:49Z,80.0,Charge 4
2022-01-02T00:10:04Z,81.0,Charge 4
2022-01-02T00:10:14Z,82.0,Charge 4
2022-01-02T00:10:19Z,84.0,Charge 4
2022-01-02T00:10:24Z,86.0,Charge 4
2022-01-02T00:10:34Z,87.0,Charge 4
2022-01-02T00:10:39Z,87.0,Charge 4
2022-01-02T00:10:54Z,86.0,Charge 4
2022-01-02T00:10:59Z,85.0,Charge 4
2022-01-02T00:11:14Z,84.0,Charge 4
2022-01-02T00:11:19Z,79.0,Charge 4
2022-01-02T00:11:34Z,79.0,Charge 4
2022-01-02T00:11:49Z,79.0,Charge 4
2022-01-02T00:11:54Z,80.0,Charge 4
2022-01-02T00:11:59Z,82.0,Charge 4
2022-01-02T00:12:04Z,79.0,Charge 4
2022-01-02T00:12:09Z,77.0,Charge 4
2022-01-02T00:12:19Z,78.0,Charge 4
2022-01-02T00:12:24Z,79.0,Charge 4
2022-01-02T00:12:29Z,80.0,Charge 4
2022-01-02T00:12:34Z,81.0,Charge 4
2022-01-02T00:12:39Z,82.0,Charge 4
2022-01-02T00:12:54Z,83.0,Charge 4
2022-01-02T00:13:09Z,85.0,Charge 4
2022-01-02T00:13:24Z,86.0,Charge 4
2022-01-02T00:13:29Z,88.0,Charge 4
2022-01-02T00:13:34Z,87.0,Charge 4
2022-01-02T00:13:39Z,88.0,Charge 4
2022-01-02T00:13:54Z,89.0,Charge 4
2022-01-02T00:14:04Z,90.0,Charge 4
2022-01-02T00:14:19Z,91.0,Charge 4
2022-01-02T00:14:24Z,92.0,Charge 4
2022-01-02T00:14:34Z,94.0,Charge 4
