timestamp,gain,data source
2023-01-10T08:02:00Z,3048,Charge 4
2023-01-10T08:03:00Z,3048,Charge 4
2023-01-10T08:04:00Z,6096,Charge 4
2023-01-10T08:05:00Z,3048,Charge 4
2023-01-10T08:06:00Z,3048,Charge 4
2023-01-10T08:30:00Z,3048,Charge 4
2023-01-10T09:01:00Z,3048,Charge 4
2023-01-10T09:02:00Z,3048,Charge 4
2023-01-10T11:20:00Z,3048,Charge 4
2023-01-10T11:21:00Z,3048,Charge 4
2023-01-10T11:22:00Z,3048,Charge 4
2023-01-10T11:23:00Z,3048,Charge 4
2023-01-10T11:24:00Z,3048,Charge 4
2023-01-10T11:26:00Z,3048,Charge 4
2023-01-10T11:28:00Z,3048,Charge 4
2023-01-10T11:30:00Z,3048,Charge 4
2023-01-10T11:38:00Z,3048,Charge 4
2023-01-10T11:40:00Z,3048,Charge 4
2023-01-10T11:42:00Z,3048,Charge 4
2023-01-10T11:47:00Z,6096,Charge 4
2023-01-10T11:48:00Z,3048,Charge 4
2023-01-10T11:49:00Z,3048,Charge 4
2023-01-10T13:36:00Z,3048,Charge 4
2023-01-10T13:37:00Z,3048,Charge 4
2023-01-10T16:01:00Z,3048,Charge 4
2023-01-10T16:06:00Z,3048,Charge 4
2023-01-10T16:07:00Z,6096,Charge 4
2023-01-10T16:08:00Z,3048,Charge 4
2023-01-10T16:09:00Z,6096,Charge 4
2023-01-10T16:11:00Z,3048,Charge 4
2023-01-10T16:29:00Z,3048,Charge 4
2023-01-10T16:30:00Z,3048,Charge 4
2023-01-10T16:31:00Z,3048,Charge 4
2023-01-10T16:32:00Z,3048,Charge 4
2023-01-10T16:35:00Z,3048,Charge 4
2023-01-10T16:36:00Z,3048,Charge 4
2023-01-10T16:39:00Z,6096,Charge 4
2023-01-10T17:21:00Z,3048,Charge 4
2023-01-10T17:22:00Z,3048,Charge 4
2023-01-10T17:23:00Z,6096,Charge 4
2023-01-10T17:25:00Z,6096,Charge 4
2023-01-10T17:26:00Z,3048,Charge 4
2023-01-10T17:27:00Z,6096,Charge 4
2023-01-10T17:28:00Z,3048,Charge 4
2023-01-10T17:30:00Z,3048,Charge 4
2023-01-10T18:13:00Z,3048,Charge 4
2023-01-10T19:45:00Z,3048,Charge 4
2023-01-11T09:17:00Z,3048,Charge 4
2023-01-11T09:18:00Z,3048,Charge 4
2023-01-11T09:25:00Z,3048,Charge 4
2023-01-11T09:56:00Z,3048,Charge 4
2023-01-11T09:57:00Z,6096,Charge 4
2023-01-11T09:59:00Z,6096,Charge 4
2023-01-11T10:00:00Z,3048,Charge 4
2023-01-11T10:24:00Z,3048,Charge 4
2023-01-11T15:46:00Z,3048,Charge 4
2023-01-11T15:48:00Z,6096,Charge 4
2023-01-11T15:49:00Z,6096,Charge 4
2023-01-11T15:50:00Z,3048,Charge 4
2023-01-11T16:00:00Z,3048,Charge 4
2023-01-11T16:03:00Z,6096,Charge 4
2023-01-11T16:35:00Z,3048,Charge 4
2023-01-11T16:36:00Z,3048,Charge 4
2023-01-11T16:38:00Z,3048,Charge 4
2023-01-11T16:39:00Z,6096,Charge 4
2023-01-11T16:40:00Z,6096,Charge 4
2023-01-11T16:41:00Z,3048,Charge 4
2023-01-11T16:42:00Z,3048,Charge 4
2023-01-11T16:43:00Z,3048,Charge 4
2023-01-11T18:45:00Z,3048,Charge 4
2023-01-11T19:23:00Z,3048,Charge 4
2023-01-11T19:41:00Z,3048,Charge 4
2023-01-11T19:54:00Z,3048,Charge 4
2023-01-11T22:45:00Z,3048,Charge 4
2023-01-11T23:03:00Z,3048,Charge 4
2023-01-12T09:55:00Z,3048,Charge 4
2023-01-12T14:04:00Z,3048,Charge 4
2023-01-12T16:55:00Z,3048,Charge 4
2023-01-12T18:05:00Z,3048,Charge 4
2023-01-12T18:22:00Z,3048,Charge 4
2023-01-12T21:05:00Z,3048,Charge 4
2023-01-13T22:03:00Z,3048,Charge 4
2023-01-14T11:48:00Z,3048,Charge 4
2023-01-14T14:01:00Z,3048,Charge 4
2023-01-14T14:17:00Z,3048,Charge 4
2023-01-14T14:23:00Z,3048,Charge 4
2023-01-14T14:58:00Z,3048,Charge 4
2023-01-14T15:02:00Z,3048,Charge 4
2023-01-14T15:03:00Z,3048,Charge 4
2023-01-14T15:14:00Z,3048,Charge 4
2023-01-14T15:16:00Z,3048,Charge 4
2023-01-14T15:21:00Z,3048,Charge 4
2023-01-14T15:23:00Z,3048,Charge 4
2023-01-14T16:10:00Z,3048,Charge 4
2023-01-14T16:34:00Z,12192,Charge 4
2023-01-14T16:35:00Z,6096,Charge 4
2023-01-14T16:36:00Z,3048,Charge 4
2023-01-14T16:37:00Z,3048,Charge 4
2023-01-14T16:38:00Z,3048,Charge 4
2023-01-14T16:39:00Z,3048,Charge 4
2023-01-14T16:40:00Z,3048,Charge 4
2023-01-14T16:41:00Z,3048,Charge 4
2023-01-14T16:42:00Z,3048,Charge 4
2023-01-14T17:33:00Z,3048,Charge 4
2023-01-14T18:26:00Z,6096,Charge 4
2023-01-14T18:27:00Z,3048,Charge 4
2023-01-14T20:38:00Z,3048,Charge 4
2023-01-14T20:41:00Z,3048,Charge 4
2023-01-14T20:44:00Z,3048,Charge 4
2023-01-14T22:33:00Z,3048,Charge 4
2023-01-15T09:52:00Z,3048,Charge 4
2023-01-15T10:36:00Z,3048,Charge 4
2023-01-15T11:04:00Z,3048,Charge 4
2023-01-15T11:19:00Z,3048,Charge 4
2023-01-15T12:32:00Z,3048,Charge 4
2023-01-15T12:59:00Z,3048,Charge 4
2023-01-15T14:48:00Z,6096,Charge 4
2023-01-15T14:54:00Z,3048,Charge 4
2023-01-15T15:02:00Z,3048,Charge 4
2023-01-15T15:03:00Z,3048,Charge 4
2023-01-15T15:18:00Z,3048,Charge 4
2023-01-15T15:30:00Z,3048,Charge 4
2023-01-15T15:31:00Z,3048,Charge 4
2023-01-15T15:32:00Z,3048,Charge 4
2023-01-15T15:33:00Z,3048,Charge 4
2023-01-15T15:42:00Z,3048,Charge 4
2023-01-15T17:25:00Z,3048,Charge 4
2023-01-15T17:49:00Z,6096,Charge 4
2023-01-15T18:43:00Z,3048,Charge 4
2023-01-15T19:47:00Z,3048,Charge 4
2023-01-15T19:51:00Z,6096,Charge 4
2023-01-15T21:07:00Z,3048,Charge 4
2023-01-15T21:32:00Z,3048,Charge 4
2023-01-15T21:33:00Z,3048,Charge 4
2023-01-15T22:20:00Z,3048,Charge 4
2023-01-16T07:45:00Z,3048,Charge 4
2023-01-16T08:06:00Z,3048,Charge 4
2023-01-16T08:07:00Z,3048,Charge 4
2023-01-16T09:57:00Z,6096,Charge 4
2023-01-16T11:13:00Z,3048,Charge 4
2023-01-16T11:16:00Z,3048,Charge 4
2023-01-16T12:17:00Z,3048,Charge 4
2023-01-16T12:28:00Z,3048,Charge 4
2023-01-16T12:29:00Z,3048,Charge 4
2023-01-16T12:37:00Z,3048,Charge 4
2023-01-16T12:39:00Z,3048,Charge 4
2023-01-16T14:26:00Z,3048,Charge 4
2023-01-16T14:49:00Z,3048,Charge 4
2023-01-16T15:34:00Z,3048,Charge 4
2023-01-16T15:35:00Z,3048,Charge 4
2023-01-16T15:37:00Z,3048,Charge 4
2023-01-16T15:50:00Z,3048,Charge 4
2023-01-16T16:56:00Z,3048,Charge 4
2023-01-16T18:07:00Z,3048,Charge 4
2023-01-16T18:09:00Z,3048,Charge 4
2023-01-17T09:06:00Z,3048,Charge 4
2023-01-17T09:34:00Z,3048,Charge 4
2023-01-17T09:35:00Z,3048,Charge 4
2023-01-17T09:43:00Z,3048,Charge 4
2023-01-17T10:25:00Z,6096,Charge 4
2023-01-17T10:26:00Z,6096,Charge 4
2023-01-17T10:27:00Z,6096,Charge 4
2023-01-17T10:40:00Z,3048,Charge 4
2023-01-17T11:56:00Z,3048,Charge 4
2023-01-17T14:57:00Z,3048,Charge 4
2023-01-17T14:58:00Z,3048,Charge 4
2023-01-17T15:00:00Z,3048,Charge 4
2023-01-17T15:01:00Z,6096,Charge 4
2023-01-17T15:02:00Z,3048,Charge 4
2023-01-17T15:03:00Z,3048,Charge 4
2023-01-17T15:05:00Z,3048,Charge 4
2023-01-17T15:11:00Z,3048,Charge 4
2023-01-17T15:12:00Z,3048,Charge 4
2023-01-17T15:14:00Z,3048,Charge 4
2023-01-17T15:15:00Z,3048,Charge 4
2023-01-17T15:17:00Z,3048,Charge 4
2023-01-17T15:22:00Z,3048,Charge 4
2023-01-17T15:59:00Z,3048,Charge 4
2023-01-17T16:09:00Z,3048,Charge 4
2023-01-17T16:22:00Z,3048,Charge 4
2023-01-17T17:20:00Z,3048,Charge 4
2023-01-17T17:30:00Z,6096,Charge 4
2023-01-17T18:29:00Z,3048,Charge 4
2023-01-17T18:31:00Z,3048,Charge 4
2023-01-17T18:32:00Z,3048,Charge 4
2023-01-17T21:22:00Z,3048,Charge 4
2023-01-17T21:28:00Z,3048,Charge 4
2023-01-17T21:29:00Z,3048,Charge 4
2023-01-18T09:12:00Z,3048,Charge 4
2023-01-18T09:42:00Z,3048,Charge 4
2023-01-18T09:56:00Z,6096,Charge 4
2023-01-18T10:02:00Z,3048,Charge 4
2023-01-18T12:19:00Z,3048,Charge 4
2023-01-18T16:08:00Z,3048,Charge 4
2023-01-18T16:57:00Z,3048,Charge 4
2023-01-18T16:58:00Z,3048,Charge 4
2023-01-18T17:00:00Z,3048,Charge 4
2023-01-18T17:02:00Z,3048,Charge 4
2023-01-18T17:03:00Z,3048,Charge 4
2023-01-18T17:04:00Z,3048,Charge 4
2023-01-18T17:53:00Z,3048,Charge 4
2023-01-18T17:55:00Z,3048,Charge 4
2023-01-18T18:02:00Z,3048,Charge 4
2023-01-18T18:07:00Z,3048,Charge 4
2023-01-18T18:08:00Z,3048,Charge 4
2023-01-18T18:13:00Z,3048,Charge 4
2023-01-18T18:26:00Z,3048,Charge 4
2023-01-18T18:34:00Z,3048,Charge 4
2023-01-18T21:14:00Z,3048,Charge 4
2023-01-19T07:15:00Z,3048,Charge 4
2023-01-19T09:21:00Z,6096,Charge 4
2023-01-19T09:22:00Z,6096,Charge 4
2023-01-19T09:27:00Z,3048,Charge 4
2023-01-19T09:28:00Z,3048,Charge 4
2023-01-19T09:58:00Z,6096,Charge 4
2023-01-19T09:59:00Z,6096,Charge 4
2023-01-19T10:00:00Z,6096,Charge 4
2023-01-19T13:01:00Z,3048,Charge 4
2023-01-19T15:44:00Z,9144,Charge 4
2023-01-19T15:45:00Z,3048,Charge 4
2023-01-19T15:46:00Z,3048,Charge 4
2023-01-19T16:34:00Z,3048,Charge 4
2023-01-19T18:18:00Z,3048,Charge 4
2023-01-20T10:12:00Z,3048,Charge 4
2023-01-20T12:38:00Z,6096,Charge 4
2023-01-21T11:28:00Z,3048,Charge 4
2023-01-21T13:10:00Z,3048,Charge 4
2023-01-21T14:12:00Z,3048,Charge 4
2023-01-21T14:59:00Z,3048,Charge 4
2023-01-21T15:00:00Z,6096,Charge 4
2023-01-21T15:23:00Z,3048,Charge 4
2023-01-21T16:13:00Z,3048,Charge 4
2023-01-21T16:15:00Z,3048,Charge 4
2023-01-21T16:16:00Z,3048,Charge 4
2023-01-21T16:19:00Z,3048,Charge 4
2023-01-21T18:02:00Z,3048,Charge 4
2023-01-21T18:23:00Z,3048,Charge 4
2023-01-21T18:24:00Z,3048,Charge 4
2023-01-21T21:11:00Z,3048,Charge 4
2023-01-21T22:20:00Z,3048,Charge 4
2023-01-22T09:13:00Z,3048,Charge 4
2023-01-22T11:29:00Z,3048,Charge 4
2023-01-22T12:58:00Z,3048,Charge 4
2023-01-22T16:43:00Z,3048,Charge 4
2023-01-22T16:44:00Z,3048,Charge 4
2023-01-22T17:30:00Z,3048,Charge 4
2023-01-22T19:26:00Z,3048,Charge 4
2023-01-22T21:16:00Z,3048,Charge 4
2023-01-22T21:17:00Z,6096,Charge 4
