timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2022-06-01T00:00:00Z,96.4,93.7,99.1,95.6,1.1,Charge 4
2022-06-05T00:00:00Z,95.4,89.9,98.6,95.6,1.1,Charge 4
2022-06-07T00:00:00Z,96.4,94.3,99.0,95.6,1.1,Charge 4
2022-06-08T00:00:00Z,98.5,99.4,99.6,95.7,1.2,Charge 4
2022-06-10T00:00:00Z,94.9,93.0,97.2,95.7,1.2,Charge 4
2022-06-11T00:00:00Z,95.1,95.0,95.5,95.7,1.2,Charge 4
2022-06-12T00:00:00Z,96.9,94.9,100.0,95.8,1.2,Charge 4
2022-06-13T00:00:00Z,93.0,93.0,92.4,95.7,1.3,Charge 4
2022-06-14T00:00:00Z,96.3,95.4,97.0,95.7,1.3,Charge 4
2022-06-15T00:00:00Z,96.3,96.5,96.5,95.8,1.3,Charge 4
2022-06-16T00:00:00Z,91.0,90.6,90.9,95.5,1.5,Charge 4
2022-06-17T00:00:00Z,93.0,91.5,94.3,95.4,1.5,Charge 4
2022-06-18T00:00:00Z,94.2,93.4,95.5,95.3,1.5,Charge 4
2022-06-21T00:00:00Z,90.6,91.3,91.8,95.1,1.9,Charge 4
2022-06-22T00:00:00Z,97.4,96.8,98.7,95.3,1.7,Charge 4
2022-06-24T00:00:00Z,93.7,93.7,93.8,95.2,1.8,Charge 4
2022-06-27T00:00:00Z,95.3,93.1,97.9,95.2,1.7,Charge 4
2022-06-28T00:00:00Z,95.0,92.8,97.7,95.2,1.7,Charge 4
2022-06-29T00:00:00Z,90.7,90.7,90.6,95.1,1.9,Charge 4
2022-06-30T00:00:00Z,94.0,95.7,91.2,95.1,1.9,Charge 4
