start time,end time,data source
2020-12-22T07:45:00Z,2020-12-22T08:22:00Z,Fitbit App
2020-12-22T08:28:00Z,2020-12-22T08:57:00Z,Fitbit App
2020-12-22T09:05:00Z,2020-12-22T09:40:00Z,Fitbit App
2020-12-22T09:41:00Z,2020-12-22T09:54:00Z,Fitbit App
2020-12-22T09:55:00Z,2020-12-22T10:14:00Z,Fitbit App
2020-12-22T10:15:00Z,2020-12-22T12:19:00Z,Fitbit App
2020-12-22T14:26:00Z,2020-12-22T15:03:00Z,Fitbit App
2020-12-22T15:13:00Z,2020-12-22T15:34:00Z,Fitbit App
2020-12-22T16:28:00Z,2020-12-22T16:46:00Z,Fitbit App
2020-12-22T16:54:00Z,2020-12-22T17:24:00Z,Fitbit App
2020-12-22T17:25:00Z,2020-12-22T18:03:00Z,Fitbit App
2020-12-22T18:20:00Z,2020-12-22T18:49:00Z,Fitbit App
2020-12-22T18:51:00Z,2020-12-22T22:32:00Z,Fitbit App
2020-12-22T22:33:00Z,2020-12-22T22:50:00Z,Fitbit App
