timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2026-01-01T00:00:00Z,92.9,89.4,97.1,94.3,1.9,Charge 6
2026-01-02T00:00:00Z,95.3,92.4,97.8,94.3,1.8,Charge 6
2026-01-03T00:00:00Z,94.7,93.1,96.4,94.3,1.8,Charge 6
2026-01-04T00:00:00Z,94.1,91.9,96.7,94.3,1.8,Charge 6
2026-01-05T00:00:00Z,96.1,95.7,97.2,94.3,1.9,Charge 6
2026-01-06T00:00:00Z,95.6,91.9,99.7,94.3,1.9,Charge 6
2026-01-07T00:00:00Z,91.2,90.0,92.0,94.1,1.9,Charge 6
2026-01-08T00:00:00Z,95.6,94.8,96.5,94.2,1.9,Charge 6
2026-01-09T00:00:00Z,96.0,96.0,96.4,94.2,1.9,Charge 6
2026-01-11T00:00:00Z,94.6,90.3,98.1,94.2,1.9,Charge 6
2026-01-12T00:00:00Z,94.7,91.1,98.2,94.2,1.9,Charge 6
2026-01-13T00:00:00Z,95.5,92.1,99.3,94.2,1.9,Charge 6
2026-01-14T00:00:00Z,93.5,88.9,96.9,94.3,1.9,Charge 6
2026-01-15T00:00:00Z,95.2,91.2,99.2,94.3,1.9,Charge 6
2026-01-16T00:00:00Z,94.2,92.6,96.8,94.3,1.9,Charge 6
2026-01-17T00:00:00Z,97.2,95.1,99.1,94.4,1.9,Charge 6
2026-01-20T00:00:00Z,92.1,92.1,94.0,94.3,2.0,Charge 6
2026-01-21T00:00:00Z,94.5,93.7,94.9,94.4,1.9,Charge 6
2026-01-23T00:00:00Z,94.8,92.2,97.3,94.4,1.9,Charge 6
2026-01-24T00:00:00Z,95.5,93.8,97.9,94.5,1.9,Charge 6
2026-01-25T00:00:00Z,97.2,95.2,99.3,94.8,1.4,Charge 6
2026-01-26T00:00:00Z,94.3,92.3,96.0,94.7,1.3,Charge 6
2026-01-27T00:00:00Z,94.0,91.4,95.3,94.7,1.3,Charge 6
2026-01-28T00:00:00Z,95.6,92.3,98.5,94.7,1.3,Charge 6
2026-01-29T00:00:00Z,95.5,85.7,99.5,94.8,1.3,Charge 6
2026-01-30T00:00:00Z,92.7,86.8,98.1,94.7,1.3,Charge 6
2026-01-31T00:00:00Z,95.7,93.3,97.9,94.7,1.3,Charge 6
