start time,end time,data source
2024-06-21T04:55:00Z,2024-06-21T05:19:00Z,Fitbit App
2024-06-21T05:36:00Z,2024-06-21T05:56:00Z,Fitbit App
2024-06-21T06:13:00Z,2024-06-21T06:35:00Z,Fitbit App
2024-06-21T07:13:00Z,2024-06-21T09:46:00Z,Fitbit App
2024-06-21T10:06:00Z,2024-06-21T10:27:00Z,Fitbit App
2024-06-21T10:36:00Z,2024-06-21T13:21:00Z,Fitbit App
2024-06-21T13:26:00Z,2024-06-21T14:38:00Z,Fitbit App
2024-06-21T15:01:00Z,2024-06-21T15:22:00Z,Fitbit App
2024-06-21T15:23:00Z,2024-06-21T15:34:00Z,Fitbit App
2024-06-21T15:40:00Z,2024-06-21T17:42:00Z,Fitbit App
2024-06-21T17:52:00Z,2024-06-21T18:07:00Z,Fitbit App
2024-06-21T18:48:00Z,2024-06-21T19:02:00Z,Fitbit App
2024-06-21T19:35:00Z,2024-06-21T19:50:00Z,Fitbit App
2024-06-21T20:14:00Z,2024-06-21T20:34:00Z,Fitbit App
2024-06-21T20:38:00Z,2024-06-21T22:00:00Z,Fitbit App
