timestamp,light,moderate,very,data source
2020-09-04T19:46:00Z,1,0,0,Fitbit App
2020-09-04T20:21:00Z,1,0,0,Fitbit App
2020-09-04T20:40:00Z,1,0,0,Fitbit App
2020-09-04T20:57:00Z,1,0,0,Fitbit App
2020-09-04T21:16:00Z,1,0,0,Fitbit App
2020-09-04T21:56:00Z,1,0,0,Fitbit App
2020-09-04T23:10:00Z,1,0,0,Fitbit App
2020-09-04T23:13:00Z,1,0,0,Fitbit App
2020-09-05T07:21:00Z,1,0,0,Fitbit App
2020-09-05T08:27:00Z,1,0,0,Fitbit App
2020-09-05T08:28:00Z,1,0,0,Fitbit App
2020-09-05T08:33:00Z,1,0,0,Fitbit App
2020-09-05T09:17:00Z,1,0,0,Fitbit App
2020-09-05T09:18:00Z,1,0,0,Fitbit App
2020-09-05T09:19:00Z,1,0,0,Fitbit App
2020-09-05T09:20:00Z,1,0,0,Fitbit App
2020-09-05T09:21:00Z,1,0,0,Fitbit App
2020-09-05T09:24:00Z,1,0,0,Fitbit App
2020-09-05T09:25:00Z,1,0,0,Fitbit App
2020-09-05T09:34:00Z,1,0,0,Fitbit App
2020-09-05T09:36:00Z,1,0,0,Fitbit App
2020-09-05T09:37:00Z,1,0,0,Fitbit App
2020-09-05T09:38:00Z,1,0,0,Fitbit App
2020-09-05T09:42:00Z,1,0,0,Fitbit App
2020-09-05T09:47:00Z,1,0,0,Fitbit App
2020-09-05T09:49:00Z,1,0,0,Fitbit App
2020-09-05T09:50:00Z,1,0,0,Fitbit App
2020-09-05T09:51:00Z,1,0,0,Fitbit App
2020-09-05T10:21:00Z,1,0,0,Fitbit App
2020-09-05T10:22:00Z,1,0,0,Fitbit App
2020-09-05T11:09:00Z,1,0,0,Fitbit App
2020-09-05T11:10:00Z,1,0,0,Fitbit App
2020-09-05T11:12:00Z,1,0,0,Fitbit App
2020-09-05T11:26:00Z,1,0,0,Fitbit App
2020-09-05T11:27:00Z,1,0,0,Fitbit App
2020-09-05T11:28:00Z,1,0,0,Fitbit App
2020-09-05T11:54:00Z,1,0,0,Fitbit App
2020-09-05T12:05:00Z,1,0,0,Fitbit App
2020-09-05T12:07:00Z,1,0,0,Fitbit App
2020-09-05T12:08:00Z,1,0,0,Fitbit App
2020-09-05T12:09:00Z,1,0,0,Fitbit App
2020-09-05T12:10:00Z,1,0,0,Fitbit App
2020-09-05T12:35:00Z,1,0,0,Fitbit App
2020-09-05T12:43:00Z,1,0,0,Fitbit App
2020-09-05T12:45:00Z,1,0,0,Fitbit App
2020-09-05T12:46:00Z,1,0,0,Fitbit App
2020-09-05T12:47:00Z,1,0,0,Fitbit App
2020-09-05T12:56:00Z,1,0,0,Fitbit App
2020-09-05T12:57:00Z,1,0,0,Fitbit App
2020-09-05T12:58:00Z,1,0,0,Fitbit App
2020-09-05T12:59:00Z,0,1,0,Fitbit App
2020-09-05T13:00:00Z,0,0,1,Fitbit App
2020-09-05T13:01:00Z,0,0,1,Fitbit App
2020-09-05T13:02:00Z,0,0,1,Fitbit App
2020-09-05T13:03:00Z,0,0,1,Fitbit App
2020-09-05T13:04:00Z,0,0,1,Fitbit App
2020-09-05T13:05:00Z,0,0,1,Fitbit App
2020-09-05T13:06:00Z,0,0,1,Fitbit App
2020-09-05T13:07:00Z,0,0,1,Fitbit App
2020-09-05T13:08:00Z,0,0,1,Fitbit App
2020-09-05T13:09:00Z,0,0,1,Fitbit App
2020-09-05T13:10:00Z,0,1,0,Fitbit App
2020-09-05T13:11:00Z,0,0,1,Fitbit App
2020-09-05T13:12:00Z,0,0,1,Fitbit App
2020-09-05T13:13:00Z,0,0,1,Fitbit App
2020-09-05T13:14:00Z,0,0,1,Fitbit App
2020-09-05T13:15:00Z,0,0,1,Fitbit App
2020-09-05T13:16:00Z,0,1,0,Fitbit App
2020-09-05T13:17:00Z,0,0,1,Fitbit App
2020-09-05T13:18:00Z,0,0,1,Fitbit App
2020-09-05T13:19:00Z,0,0,1,Fitbit App
2020-09-05T13:20:00Z,0,0,1,Fitbit App
2020-09-05T13:21:00Z,0,0,1,Fitbit App
2020-09-05T13:22:00Z,0,0,1,Fitbit App
2020-09-05T13:23:00Z,0,0,1,Fitbit App
2020-09-05T13:24:00Z,0,0,1,Fitbit App
2020-09-05T13:25:00Z,0,0,1,Fitbit App
2020-09-05T13:26:00Z,0,0,1,Fitbit App
2020-09-05T13:27:00Z,0,1,0,Fitbit App
2020-09-05T13:28:00Z,0,0,1,Fitbit App
2020-09-05T13:29:00Z,0,1,0,Fitbit App
2020-09-05T13:30:00Z,0,1,0,Fitbit App
