timestamp,beats per minute,data source
2023-05-31T00:00:05Z,69.0,Charge 4
2023-05-31T00:00:10Z,70.0,Charge 4
2023-05-31T00:00:15Z,71.0,Charge 4
2023-05-31T00:00:30Z,69.0,Charge 4
2023-05-31T00:00:35Z,68.0,Charge 4
2023-05-31T00:00:50Z,69.0,Charge 4
2023-05-31T00:00:55Z,70.0,Charge 4
2023-05-31T00:01:05Z,71.0,Charge 4
2023-05-31T00:01:10Z,70.0,Charge 4
2023-05-31T00:01:20Z,69.0,Charge 4
2023-05-31T00:01:25Z,68.0,Charge 4
2023-05-31T00:01:30Z,69.0,Charge 4
2023-05-31T00:01:40Z,71.0,Charge 4
2023-05-31T00:01:45Z,72.0,Charge 4
2023-05-31T00:01:55Z,71.0,Charge 4
2023-05-31T00:02:05Z,70.0,Charge 4
2023-05-31T00:02:20Z,70.0,Charge 4
2023-05-31T00:02:30Z,69.0,Charge 4
2023-05-31T00:02:45Z,70.0,Charge 4
2023-05-31T00:03:00Z,70.0,Charge 4
2023-05-31T00:03:05Z,69.0,Charge 4
2023-05-31T00:03:15Z,70.0,Charge 4
2023-05-31T00:03:25Z,69.0,Charge 4
2023-05-31T00:03:40Z,69.0,Charge 4
2023-05-31T00:03:50Z,69.0,Charge 4
2023-05-31T00:03:56Z,69.0,Charge 4
2023-05-31T00:04:01Z,70.0,Charge 4
2023-05-31T00:04:16Z,69.0,Charge 4
2023-05-31T00:04:21Z,68.0,Charge 4
2023-05-31T00:04:26Z,69.0,Charge 4
2023-05-31T00:04:41Z,69.0,Charge 4
2023-05-31T00:04:56Z,71.0,Charge 4
2023-05-31T00:05:01Z,72.0,Charge 4
2023-05-31T00:05:06Z,71.0,Charge 4
2023-05-31T00:05:11Z,70.0,Charge 4
2023-05-31T00:05:16Z,69.0,Charge 4
2023-05-31T00:05:21Z,68.0,Charge 4
2023-05-31T00:05:26Z,67.0,Charge 4
2023-05-31T00:05:36Z,68.0,Charge 4
2023-05-31T00:05:41Z,69.0,Charge 4
2023-05-31T00:05:46Z,70.0,Charge 4
2023-05-31T00:05:51Z,71.0,Charge 4
2023-05-31T00:05:56Z,70.0,Charge 4
2023-05-31T00:06:06Z,69.0,Charge 4
2023-05-31T00:06:16Z,70.0,Charge 4
2023-05-31T00:06:31Z,70.0,Charge 4
2023-05-31T00:06:41Z,69.0,Charge 4
2023-05-31T00:06:56Z,69.0,Charge 4
2023-05-31T00:07:11Z,69.0,Charge 4
2023-05-31T00:07:26Z,70.0,Charge 4
2023-05-31T00:07:36Z,68.0,Charge 4
2023-05-31T00:07:46Z,69.0,Charge 4
2023-05-31T00:07:51Z,68.0,Charge 4
2023-05-31T00:08:06Z,67.0,Charge 4
2023-05-31T00:08:11Z,68.0,Charge 4
2023-05-31T00:08:21Z,69.0,Charge 4
2023-05-31T00:08:31Z,68.0,Charge 4
2023-05-31T00:08:36Z,69.0,Charge 4
2023-05-31T00:08:41Z,70.0,Charge 4
2023-05-31T00:08:46Z,71.0,Charge 4
2023-05-31T00:08:51Z,70.0,Charge 4
2023-05-31T00:09:06Z,70.0,Charge 4
2023-05-31T00:09:11Z,71.0,Charge 4
2023-05-31T00:09:16Z,70.0,Charge 4
2023-05-31T00:09:31Z,70.0,Charge 4
2023-05-31T00:09:41Z,69.0,Charge 4
2023-05-31T00:09:46Z,68.0,Charge 4
2023-05-31T00:09:56Z,69.0,Charge 4
2023-05-31T00:10:01Z,70.0,Charge 4
2023-05-31T00:10:11Z,69.0,Charge 4
2023-05-31T00:10:26Z,69.0,Charge 4
2023-05-31T00:10:41Z,69.0,Charge 4
2023-05-31T00:10:56Z,68.0,Charge 4
2023-05-31T00:11:11Z,68.0,Charge 4
2023-05-31T00:11:16Z,67.0,Charge 4
2023-05-31T00:11:26Z,66.0,Charge 4
2023-05-31T00:11:36Z,67.0,Charge 4
2023-05-31T00:11:41Z,70.0,Charge 4
2023-05-31T00:11:47Z,71.0,Charge 4
2023-05-31T00:11:57Z,70.0,Charge 4
2023-05-31T00:12:02Z,69.0,Charge 4
2023-05-31T00:12:17Z,70.0,Charge 4
2023-05-31T00:12:27Z,71.0,Charge 4
2023-05-31T00:12:32Z,72.0,Charge 4
2023-05-31T00:12:37Z,71.0,Charge 4
2023-05-31T00:12:42Z,69.0,Charge 4
2023-05-31T00:12:47Z,67.0,Charge 4
2023-05-31T00:13:02Z,67.0,Charge 4
2023-05-31T00:13:12Z,69.0,Charge 4
2023-05-31T00:13:22Z,68.0,Charge 4
2023-05-31T00:13:37Z,70.0,Charge 4
2023-05-31T00:13:52Z,70.0,Charge 4
2023-05-31T00:14:02Z,71.0,Charge 4
2023-05-31T00:14:07Z,70.0,Charge 4
2023-05-31T00:14:17Z,69.0,Charge 4
2023-05-31T00:14:22Z,68.0,Charge 4
2023-05-31T00:14:37Z,68.0,Charge 4
2023-05-31T00:14:42Z,69.0,Charge 4
2023-05-31T00:14:47Z,70.0,Charge 4
2023-05-31T00:14:52Z,72.0,Charge 4
2023-05-31T00:14:57Z,74.0,Charge 4
2023-05-31T00:15:12Z,84.0,Charge 4
2023-05-31T00:15:17Z,89.0,Charge 4
2023-05-31T00:15:22Z,88.0,Charge 4
2023-05-31T00:15:27Z,87.0,Charge 4
2023-05-31T00:15:32Z,79.0,Charge 4
2023-05-31T00:15:37Z,71.0,Charge 4
2023-05-31T00:15:42Z,68.0,Charge 4
2023-05-31T00:15:47Z,67.0,Charge 4
2023-05-31T00:15:52Z,66.0,Charge 4
2023-05-31T00:16:07Z,66.0,Charge 4
2023-05-31T00:16:12Z,68.0,Charge 4
2023-05-31T00:16:17Z,70.0,Charge 4
