start time,end time,data source
2023-11-12T05:25:00Z,2023-11-12T05:36:00Z,Fitbit App
2023-11-12T05:37:00Z,2023-11-12T06:09:00Z,Fitbit App
2023-11-12T06:13:00Z,2023-11-12T06:47:00Z,Fitbit App
2023-11-12T07:41:00Z,2023-11-12T07:54:00Z,Fitbit App
2023-11-12T09:17:00Z,2023-11-12T09:34:00Z,Fitbit App
2023-11-12T09:55:00Z,2023-11-12T10:05:00Z,Fitbit App
2023-11-12T13:48:00Z,2023-11-12T14:11:00Z,Fitbit App
2023-11-12T15:04:00Z,2023-11-12T15:18:00Z,Fitbit App
2023-11-12T15:24:00Z,2023-11-12T15:38:00Z,Fitbit App
2023-11-12T15:39:00Z,2023-11-12T15:55:00Z,Fitbit App
2023-11-12T15:57:00Z,2023-11-12T16:30:00Z,Fitbit App
2023-11-12T16:31:00Z,2023-11-12T17:13:00Z,Fitbit App
2023-11-12T17:57:00Z,2023-11-12T18:54:00Z,Fitbit App
2023-11-12T18:55:00Z,2023-11-12T19:05:00Z,Fitbit App
2023-11-12T19:10:00Z,2023-11-12T21:35:00Z,Fitbit App
