timestamp,lap time,stroke count,stroke type,data source
2020-11-01T15:08:37Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:25:26Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:27:27Z,00:00:33.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:28:33Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:29:41Z,00:00:29.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:33:44Z,00:00:57.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:34:57Z,00:00:53.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:36:19Z,00:00:43.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:47:01Z,00:00:55.000,28,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T15:48:05Z,00:00:16.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T19:22:40Z,00:00:48.000,28,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T19:38:24Z,00:00:12.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T19:40:29Z,00:00:24.000,23,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T19:43:24Z,00:00:14.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T19:44:01Z,00:00:07.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T19:44:22Z,00:00:14.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T19:55:39Z,00:00:21.000,20,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T19:59:26Z,00:00:22.000,20,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T20:00:29Z,00:00:07.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T20:02:38Z,00:00:14.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T20:02:56Z,00:00:16.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-01T20:04:04Z,00:00:17.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
2020-11-03T06:49:19Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 4
