timestamp,steps,distance millimeters,altitude gain millimeters,data source
2021-06-19T07:41:51Z,0,0,0,Charge 4
2021-06-19T07:41:52Z,2,0,0,Charge 4
2021-06-19T07:41:53Z,2,0,0,Charge 4
2021-06-19T07:41:54Z,2,0,0,Charge 4
2021-06-19T07:41:55Z,2,0,0,Charge 4
2021-06-19T07:42:09Z,0,0,0,Charge 4
2021-06-19T07:42:10Z,3,0,0,Charge 4
2021-06-19T07:42:11Z,2,0,0,Charge 4
2021-06-19T07:42:12Z,2,0,0,Charge 4
2021-06-19T07:42:13Z,1,0,-914,Charge 4
2021-06-19T07:42:14Z,3,150,304,Charge 4
2021-06-19T07:42:15Z,3,310,-609,Charge 4
2021-06-19T07:42:16Z,3,530,304,Charge 4
2021-06-19T07:42:17Z,3,1080,-304,Charge 4
2021-06-19T07:42:18Z,3,1440,304,Charge 4
2021-06-19T07:42:19Z,3,1710,0,Charge 4
2021-06-19T07:42:20Z,2,1880,0,Charge 4
2021-06-19T07:42:21Z,1,1940,0,Charge 4
2021-06-19T07:42:22Z,2,1930,304,Charge 4
2021-06-19T07:42:23Z,1,1340,0,Charge 4
2021-06-19T07:42:24Z,1,1620,-304,Charge 4
2021-06-19T07:42:25Z,2,1610,914,Charge 4
2021-06-19T07:42:26Z,3,1530,-914,Charge 4
2021-06-19T07:42:27Z,1,1550,-304,Charge 4
2021-06-19T07:42:28Z,2,1490,304,Charge 4
2021-06-19T07:42:29Z,1,1460,0,Charge 4
2021-06-19T07:42:30Z,2,1440,0,Charge 4
2021-06-19T07:42:31Z,1,1440,0,Charge 4
2021-06-19T07:42:32Z,0,1290,0,Charge 4
2021-06-19T07:42:33Z,0,1130,0,Charge 4
2021-06-19T07:42:34Z,0,960,304,Charge 4
