start time,end time,data source
2020-12-25T15:28:00Z,2020-12-25T16:14:00Z,Fitbit App
2020-12-25T18:00:00Z,2020-12-25T18:43:00Z,Fitbit App
2020-12-25T18:48:00Z,2020-12-25T18:58:00Z,Fitbit App
2020-12-25T18:59:00Z,2020-12-25T19:10:00Z,Fitbit App
2020-12-25T19:49:00Z,2020-12-25T20:03:00Z,Fitbit App
2020-12-25T20:13:00Z,2020-12-25T21:24:00Z,Fitbit App
2020-12-25T21:26:00Z,2020-12-25T23:00:00Z,Fitbit App
2020-12-25T23:00:00Z,2020-12-25T23:12:00Z,Fitbit App
2020-12-25T23:13:00Z,2020-12-25T23:23:00Z,Fitbit App
2020-12-25T23:24:00Z,2020-12-25T23:59:00Z,Fitbit App
