timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2023-05-01T00:00:00Z,97.9,98.5,98.5,95.9,1.1,Charge 4
2023-05-02T00:00:00Z,96.7,94.7,98.6,96.0,1.0,Charge 4
2023-05-04T00:00:00Z,93.6,90.5,96.0,95.9,1.1,Charge 4
2023-05-05T00:00:00Z,93.0,88.6,95.5,95.8,1.2,Charge 4
2023-05-06T00:00:00Z,95.2,89.7,99.4,95.8,1.2,Charge 4
2023-05-07T00:00:00Z,94.5,93.4,95.4,95.8,1.2,Charge 4
2023-05-08T00:00:00Z,95.0,92.0,96.8,95.8,1.2,Charge 4
2023-05-09T00:00:00Z,94.4,89.6,99.5,95.8,1.2,Charge 4
2023-05-10T00:00:00Z,93.7,92.7,93.9,95.7,1.3,Charge 4
2023-05-11T00:00:00Z,94.6,91.6,96.3,95.7,1.3,Charge 4
2023-05-16T00:00:00Z,96.8,95.4,98.7,95.7,1.3,Charge 4
2023-05-20T00:00:00Z,96.0,91.6,99.2,95.7,1.3,Charge 4
2023-05-21T00:00:00Z,94.7,92.8,97.2,95.6,1.2,Charge 4
2023-05-22T00:00:00Z,94.7,94.8,96.8,95.6,1.3,Charge 4
2023-05-23T00:00:00Z,96.6,95.7,97.9,95.6,1.3,Charge 4
2023-05-28T00:00:00Z,95.1,91.9,97.8,95.5,1.3,Charge 4
