timestamp,beats per minute,data source
2020-09-28T00:00:02Z,81.0,Charge 4
2020-09-28T00:00:12Z,80.0,Charge 4
2020-09-28T00:00:17Z,81.0,Charge 4
2020-09-28T00:00:27Z,82.0,Charge 4
2020-09-28T00:00:32Z,81.0,Charge 4
2020-09-28T00:00:37Z,80.0,Charge 4
2020-09-28T00:00:42Z,78.0,Charge 4
2020-09-28T00:00:47Z,77.0,Charge 4
2020-09-28T00:01:02Z,77.0,Charge 4
2020-09-28T00:01:07Z,78.0,Charge 4
2020-09-28T00:01:22Z,78.0,Charge 4
2020-09-28T00:01:37Z,79.0,Charge 4
2020-09-28T00:01:42Z,80.0,Charge 4
2020-09-28T00:01:47Z,81.0,Charge 4
2020-09-28T00:01:52Z,82.0,Charge 4
2020-09-28T00:01:57Z,81.0,Charge 4
2020-09-28T00:02:02Z,78.0,Charge 4
2020-09-28T00:02:07Z,77.0,Charge 4
2020-09-28T00:02:12Z,76.0,Charge 4
2020-09-28T00:02:18Z,76.0,Charge 4
2020-09-28T00:02:23Z,75.0,Charge 4
2020-09-28T00:02:28Z,76.0,Charge 4
2020-09-28T00:02:43Z,76.0,Charge 4
2020-09-28T00:02:48Z,77.0,Charge 4
2020-09-28T00:02:53Z,78.0,Charge 4
2020-09-28T00:03:03Z,79.0,Charge 4
2020-09-28T00:03:08Z,78.0,Charge 4
2020-09-28T00:03:13Z,79.0,Charge 4
2020-09-28T00:03:23Z,78.0,Charge 4
2020-09-28T00:03:28Z,79.0,Charge 4
2020-09-28T00:03:43Z,78.0,Charge 4
2020-09-28T00:03:53Z,79.0,Charge 4
2020-09-28T00:03:58Z,78.0,Charge 4
2020-09-28T00:04:13Z,78.0,Charge 4
2020-09-28T00:04:23Z,79.0,Charge 4
2020-09-28T00:04:28Z,78.0,Charge 4
2020-09-28T00:04:43Z,78.0,Charge 4
2020-09-28T00:04:48Z,77.0,Charge 4
2020-09-28T00:04:58Z,76.0,Charge 4
2020-09-28T00:05:13Z,76.0,Charge 4
2020-09-28T00:05:18Z,77.0,Charge 4
2020-09-28T00:05:23Z,79.0,Charge 4
2020-09-28T00:05:28Z,80.0,Charge 4
2020-09-28T00:05:33Z,81.0,Charge 4
2020-09-28T00:05:38Z,80.0,Charge 4
2020-09-28T00:05:43Z,81.0,Charge 4
2020-09-28T00:05:48Z,81.0,Charge 4
2020-09-28T00:05:58Z,80.0,Charge 4
2020-09-28T00:06:08Z,81.0,Charge 4
2020-09-28T00:06:13Z,82.0,Charge 4
2020-09-28T00:06:23Z,81.0,Charge 4
2020-09-28T00:06:33Z,80.0,Charge 4
2020-09-28T00:06:38Z,79.0,Charge 4
2020-09-28T00:06:53Z,81.0,Charge 4
2020-09-28T00:06:58Z,78.0,Charge 4
2020-09-28T00:07:03Z,76.0,Charge 4
2020-09-28T00:07:08Z,77.0,Charge 4
2020-09-28T00:07:13Z,78.0,Charge 4
2020-09-28T00:07:18Z,79.0,Charge 4
2020-09-28T00:07:23Z,78.0,Charge 4
2020-09-28T00:07:33Z,77.0,Charge 4
2020-09-28T00:07:43Z,76.0,Charge 4
2020-09-28T00:07:58Z,76.0,Charge 4
2020-09-28T00:08:08Z,77.0,Charge 4
2020-09-28T00:08:13Z,76.0,Charge 4
2020-09-28T00:08:28Z,76.0,Charge 4
2020-09-28T00:08:33Z,77.0,Charge 4
2020-09-28T00:08:38Z,79.0,Charge 4
2020-09-28T00:08:48Z,81.0,Charge 4
2020-09-28T00:08:58Z,79.0,Charge 4
2020-09-28T00:09:13Z,79.0,Charge 4
2020-09-28T00:09:23Z,80.0,Charge 4
2020-09-28T00:09:28Z,79.0,Charge 4
2020-09-28T00:09:34Z,78.0,Charge 4
2020-09-28T00:09:39Z,77.0,Charge 4
2020-09-28T00:09:49Z,78.0,Charge 4
2020-09-28T00:09:59Z,79.0,Charge 4
2020-09-28T00:10:04Z,78.0,Charge 4
2020-09-28T00:10:14Z,77.0,Charge 4
2020-09-28T00:10:19Z,78.0,Charge 4
2020-09-28T00:10:24Z,79.0,Charge 4
2020-09-28T00:10:39Z,80.0,Charge 4
2020-09-28T00:10:44Z,78.0,Charge 4
2020-09-28T00:10:49Z,77.0,Charge 4
2020-09-28T00:10:54Z,76.0,Charge 4
2020-09-28T00:11:04Z,77.0,Charge 4
2020-09-28T00:11:19Z,77.0,Charge 4
2020-09-28T00:11:24Z,78.0,Charge 4
2020-09-28T00:11:29Z,80.0,Charge 4
2020-09-28T00:11:34Z,81.0,Charge 4
2020-09-28T00:11:39Z,80.0,Charge 4
2020-09-28T00:11:49Z,81.0,Charge 4
2020-09-28T00:11:54Z,80.0,Charge 4
2020-09-28T00:11:59Z,77.0,Charge 4
2020-09-28T00:12:09Z,78.0,Charge 4
2020-09-28T00:12:14Z,79.0,Charge 4
2020-09-28T00:12:29Z,78.0,Charge 4
2020-09-28T00:12:34Z,77.0,Charge 4
2020-09-28T00:12:49Z,77.0,Charge 4
2020-09-28T00:13:04Z,77.0,Charge 4
2020-09-28T00:13:09Z,77.0,Charge 4
2020-09-28T00:13:14Z,78.0,Charge 4
2020-09-28T00:13:29Z,77.0,Charge 4
2020-09-28T00:13:39Z,78.0,Charge 4
2020-09-28T00:13:49Z,79.0,Charge 4
2020-09-28T00:13:54Z,81.0,Charge 4
2020-09-28T00:14:09Z,79.0,Charge 4
2020-09-28T00:14:19Z,80.0,Charge 4
2020-09-28T00:14:24Z,81.0,Charge 4
2020-09-28T00:14:34Z,80.0,Charge 4
2020-09-28T00:14:39Z,79.0,Charge 4
2020-09-28T00:14:44Z,78.0,Charge 4
2020-09-28T00:14:49Z,77.0,Charge 4
2020-09-28T00:15:04Z,77.0,Charge 4
2020-09-28T00:15:09Z,79.0,Charge 4
2020-09-28T00:15:14Z,81.0,Charge 4
2020-09-28T00:15:19Z,82.0,Charge 4
2020-09-28T00:15:24Z,83.0,Charge 4
2020-09-28T00:15:34Z,84.0,Charge 4
2020-09-28T00:15:39Z,83.0,Charge 4
2020-09-28T00:15:44Z,84.0,Charge 4
2020-09-28T00:15:49Z,84.0,Charge 4
2020-09-28T00:15:54Z,81.0,Charge 4
2020-09-28T00:15:59Z,80.0,Charge 4
2020-09-28T00:16:09Z,81.0,Charge 4
2020-09-28T00:16:19Z,79.0,Charge 4
2020-09-28T00:16:24Z,78.0,Charge 4
2020-09-28T00:16:29Z,77.0,Charge 4
2020-09-28T00:16:34Z,74.0,Charge 4
2020-09-28T00:16:39Z,72.0,Charge 4
2020-09-28T00:16:44Z,74.0,Charge 4
2020-09-28T00:16:49Z,75.0,Charge 4
2020-09-28T00:16:54Z,76.0,Charge 4
2020-09-28T00:17:09Z,76.0,Charge 4
2020-09-28T00:17:24Z,76.0,Charge 4
2020-09-28T00:17:34Z,76.0,Charge 4
2020-09-28T00:17:49Z,76.0,Charge 4
2020-09-28T00:17:54Z,79.0,Charge 4
2020-09-28T00:17:59Z,81.0,Charge 4
2020-09-28T00:18:04Z,80.0,Charge 4
2020-09-28T00:18:09Z,79.0,Charge 4
2020-09-28T00:18:19Z,78.0,Charge 4
2020-09-28T00:18:24Z,77.0,Charge 4
2020-09-28T00:18:39Z,77.0,Charge 4
2020-09-28T00:18:54Z,78.0,Charge 4
2020-09-28T00:18:59Z,78.0,Charge 4
2020-09-28T00:19:14Z,78.0,Charge 4
2020-09-28T00:19:24Z,78.0,Charge 4
2020-09-28T00:19:34Z,79.0,Charge 4
2020-09-28T00:19:40Z,80.0,Charge 4
2020-09-28T00:19:45Z,81.0,Charge 4
2020-09-28T00:19:50Z,82.0,Charge 4
2020-09-28T00:19:55Z,80.0,Charge 4
2020-09-28T00:20:00Z,79.0,Charge 4
2020-09-28T00:20:15Z,80.0,Charge 4
2020-09-28T00:20:20Z,81.0,Charge 4
2020-09-28T00:20:25Z,80.0,Charge 4
2020-09-28T00:20:35Z,78.0,Charge 4
2020-09-28T00:20:40Z,77.0,Charge 4
2020-09-28T00:20:50Z,79.0,Charge 4
2020-09-28T00:20:55Z,80.0,Charge 4
2020-09-28T00:21:00Z,79.0,Charge 4
2020-09-28T00:21:05Z,78.0,Charge 4
2020-09-28T00:21:10Z,77.0,Charge 4
2020-09-28T00:21:25Z,76.0,Charge 4
2020-09-28T00:21:35Z,77.0,Charge 4
2020-09-28T00:21:40Z,78.0,Charge 4
2020-09-28T00:21:55Z,78.0,Charge 4
2020-09-28T00:22:00Z,77.0,Charge 4
2020-09-28T00:22:10Z,78.0,Charge 4
2020-09-28T00:22:15Z,79.0,Charge 4
2020-09-28T00:22:20Z,80.0,Charge 4
2020-09-28T00:22:25Z,79.0,Charge 4
2020-09-28T00:22:40Z,79.0,Charge 4
2020-09-28T00:22:55Z,78.0,Charge 4
2020-09-28T00:23:10Z,78.0,Charge 4
2020-09-28T00:23:15Z,77.0,Charge 4
2020-09-28T00:23:20Z,75.0,Charge 4
2020-09-28T00:23:25Z,76.0,Charge 4
2020-09-28T00:23:35Z,74.0,Charge 4
2020-09-28T00:23:40Z,75.0,Charge 4
2020-09-28T00:23:55Z,75.0,Charge 4
2020-09-28T00:24:00Z,79.0,Charge 4
2020-09-28T00:24:10Z,77.0,Charge 4
2020-09-28T00:24:15Z,78.0,Charge 4
2020-09-28T00:24:20Z,79.0,Charge 4
2020-09-28T00:24:30Z,80.0,Charge 4
2020-09-28T00:24:40Z,81.0,Charge 4
2020-09-28T00:24:50Z,80.0,Charge 4
2020-09-28T00:25:00Z,78.0,Charge 4
2020-09-28T00:25:05Z,76.0,Charge 4
2020-09-28T00:25:20Z,76.0,Charge 4
2020-09-28T00:25:35Z,76.0,Charge 4
2020-09-28T00:25:50Z,76.0,Charge 4
2020-09-28T00:25:55Z,78.0,Charge 4
2020-09-28T00:26:00Z,79.0,Charge 4
2020-09-28T00:26:05Z,80.0,Charge 4
2020-09-28T00:26:10Z,81.0,Charge 4
2020-09-28T00:26:15Z,80.0,Charge 4
2020-09-28T00:26:30Z,80.0,Charge 4
2020-09-28T00:26:36Z,80.0,Charge 4
2020-09-28T00:26:51Z,80.0,Charge 4
2020-09-28T00:26:56Z,79.0,Charge 4
2020-09-28T00:27:01Z,78.0,Charge 4
2020-09-28T00:27:06Z,77.0,Charge 4
2020-09-28T00:27:11Z,76.0,Charge 4
2020-09-28T00:27:16Z,75.0,Charge 4
2020-09-28T00:27:21Z,75.0,Charge 4
2020-09-28T00:27:36Z,75.0,Charge 4
2020-09-28T00:27:41Z,86.0,Charge 4
2020-09-28T00:27:46Z,83.0,Charge 4
2020-09-28T00:27:51Z,81.0,Charge 4
2020-09-28T00:27:56Z,78.0,Charge 4
2020-09-28T00:28:01Z,75.0,Charge 4
2020-09-28T00:28:06Z,73.0,Charge 4
2020-09-28T00:28:16Z,73.0,Charge 4
2020-09-28T00:28:21Z,74.0,Charge 4
2020-09-28T00:28:26Z,76.0,Charge 4
