timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2024-03-01T00:00:00Z,95.1,95.1,95.8,95.1,1.3,Charge 5
2024-03-02T00:00:00Z,93.7,92.2,94.7,95.0,1.4,Charge 5
2024-03-03T00:00:00Z,95.7,92.4,98.1,95.0,1.4,Charge 5
2024-03-04T00:00:00Z,95.6,90.9,99.3,95.0,1.3,Charge 5
2024-03-05T00:00:00Z,95.8,95.6,96.7,95.0,1.3,Charge 5
2024-03-07T00:00:00Z,96.1,93.9,98.8,95.0,1.3,Charge 5
2024-03-08T00:00:00Z,97.5,94.8,100.0,95.1,1.4,Charge 5
2024-03-10T00:00:00Z,94.7,92.8,96.2,95.0,1.3,Charge 5
2024-03-13T00:00:00Z,95.1,94.8,95.8,95.0,1.3,Charge 5
2024-03-14T00:00:00Z,92.9,92.9,92.9,95.0,1.4,Charge 5
2024-03-15T00:00:00Z,94.0,91.3,97.1,94.9,1.4,Charge 5
2024-03-16T00:00:00Z,93.4,92.0,96.1,94.9,1.4,Charge 5
2024-03-17T00:00:00Z,94.4,90.4,99.3,94.8,1.4,Charge 5
2024-03-18T00:00:00Z,96.3,89.6,98.9,95.0,1.3,Charge 5
2024-03-19T00:00:00Z,92.4,92.1,92.9,94.9,1.4,Charge 5
2024-03-20T00:00:00Z,97.0,95.9,98.1,94.9,1.4,Charge 5
2024-03-21T00:00:00Z,95.5,92.6,98.6,94.9,1.4,Charge 5
2024-03-22T00:00:00Z,97.0,92.8,99.6,95.0,1.5,Charge 5
2024-03-23T00:00:00Z,93.9,91.8,95.2,94.9,1.5,Charge 5
2024-03-24T00:00:00Z,95.5,93.9,97.4,94.9,1.5,Charge 5
2024-03-25T00:00:00Z,96.9,96.5,97.6,94.9,1.5,Charge 5
2024-03-26T00:00:00Z,97.9,95.3,100.0,95.1,1.5,Charge 5
2024-03-27T00:00:00Z,95.3,93.2,97.9,95.2,1.4,Charge 5
