timestamp,steps,distance millimeters,altitude gain millimeters,data source
2021-04-25T14:41:13Z,0,0,0,Charge 4
2021-04-25T14:41:14Z,2,0,0,Charge 4
2021-04-25T14:41:15Z,2,0,0,Charge 4
2021-04-25T14:41:16Z,2,0,0,Charge 4
2021-04-25T14:41:17Z,2,0,0,Charge 4
2021-04-25T14:41:18Z,2,0,0,Charge 4
2021-04-25T14:41:19Z,4,380,914,Charge 4
2021-04-25T14:41:20Z,4,520,-914,Charge 4
2021-04-25T14:41:21Z,3,1110,914,Charge 4
2021-04-25T14:41:22Z,2,1490,304,Charge 4
2021-04-25T14:41:23Z,4,1780,0,Charge 4
2021-04-25T14:41:24Z,3,2020,-1524,Charge 4
2021-04-25T14:41:25Z,2,2110,0,Charge 4
2021-04-25T14:41:26Z,3,2190,1524,Charge 4
2021-04-25T14:41:27Z,3,2290,304,Charge 4
2021-04-25T14:41:28Z,3,2800,-914,Charge 4
2021-04-25T14:41:29Z,3,2810,-914,Charge 4
2021-04-25T14:41:30Z,3,2890,304,Charge 4
2021-04-25T14:41:31Z,2,2870,0,Charge 4
2021-04-25T14:41:32Z,3,2880,1524,Charge 4
2021-04-25T14:41:33Z,3,2880,1524,Charge 4
2021-04-25T14:41:34Z,3,2870,-1219,Charge 4
2021-04-25T14:41:35Z,3,2880,1219,Charge 4
2021-04-25T14:41:36Z,3,2870,-1828,Charge 4
2021-04-25T14:41:37Z,2,2880,304,Charge 4
2021-04-25T14:41:38Z,2,2820,-304,Charge 4
2021-04-25T14:41:39Z,3,2780,0,Charge 4
2021-04-25T14:41:40Z,2,2830,1219,Charge 4
2021-04-25T14:41:41Z,2,2830,-914,Charge 4
2021-04-25T14:41:42Z,1,2590,609,Charge 4
2021-04-25T14:41:43Z,2,2450,-304,Charge 4
2021-04-25T14:41:44Z,1,1630,1524,Charge 4
2021-04-25T14:41:45Z,3,1570,-2133,Charge 4
2021-04-25T14:41:46Z,2,1500,304,Charge 4
2021-04-25T14:41:47Z,1,1470,0,Charge 4
2021-04-25T14:41:48Z,2,1450,0,Charge 4
2021-04-25T14:41:49Z,1,1420,-304,Charge 4
2021-04-25T14:41:50Z,2,1370,914,Charge 4
2021-04-25T14:41:51Z,2,1330,0,Charge 4
2021-04-25T14:41:52Z,2,1340,-304,Charge 4
2021-04-25T14:41:53Z,2,1340,609,Charge 4
2021-04-25T14:41:54Z,2,1350,-609,Charge 4
2021-04-25T14:41:55Z,3,1350,-304,Charge 4
2021-04-25T14:41:56Z,2,1360,304,Charge 4
2021-04-25T14:41:57Z,2,1360,-609,Charge 4
2021-04-25T14:41:58Z,1,1380,609,Charge 4
2021-04-25T14:41:59Z,2,1370,0,Charge 4
2021-04-25T14:42:00Z,2,1380,-304,Charge 4
2021-04-25T14:42:01Z,2,1370,-304,Charge 4
2021-04-25T14:42:02Z,2,1380,609,Charge 4
2021-04-25T14:42:03Z,2,1380,-914,Charge 4
2021-04-25T14:42:04Z,1,1390,914,Charge 4
2021-04-25T14:42:05Z,2,1380,-609,Charge 4
2021-04-25T14:42:06Z,3,1380,609,Charge 4
2021-04-25T14:42:07Z,2,1390,-304,Charge 4
2021-04-25T14:42:08Z,2,1390,304,Charge 4
2021-04-25T17:16:21Z,0,0,0,Charge 4
2021-04-25T17:16:22Z,2,0,0,Charge 4
2021-04-25T17:16:23Z,0,0,0,Charge 4
2021-04-25T17:16:24Z,1,0,-304,Charge 4
2021-04-25T17:16:25Z,1,0,0,Charge 4
2021-04-25T17:19:05Z,0,0,0,Charge 4
2021-04-25T17:24:51Z,0,0,0,Charge 4
2021-04-25T17:25:26Z,0,0,0,Charge 4
2021-04-25T17:25:27Z,2,0,0,Charge 4
2021-04-25T17:25:28Z,2,0,0,Charge 4
2021-04-25T17:25:29Z,2,0,0,Charge 4
2021-04-25T17:25:30Z,2,0,0,Charge 4
2021-04-25T17:38:51Z,0,0,0,Charge 4
2021-04-25T17:38:52Z,3,0,0,Charge 4
2021-04-25T17:38:53Z,2,0,0,Charge 4
2021-04-25T17:38:54Z,2,0,0,Charge 4
2021-04-25T17:38:55Z,4,300,914,Charge 4
2021-04-25T17:38:56Z,2,400,0,Charge 4
2021-04-25T17:38:57Z,4,640,0,Charge 4
2021-04-25T17:38:58Z,3,1280,-304,Charge 4
2021-04-25T17:38:59Z,2,1550,304,Charge 4
2021-04-25T17:39:00Z,4,1790,0,Charge 4
2021-04-25T17:39:01Z,3,2020,0,Charge 4
2021-04-25T17:39:02Z,1,2080,-609,Charge 4
2021-04-25T17:39:03Z,2,2080,304,Charge 4
2021-04-25T17:39:04Z,2,2500,0,Charge 4
2021-04-25T17:39:05Z,1,1830,0,Charge 4
2021-04-25T17:39:06Z,2,1810,609,Charge 4
2021-04-25T17:39:07Z,2,1800,-304,Charge 4
2021-04-25T17:39:08Z,2,1790,-609,Charge 4
2021-04-25T17:39:09Z,2,1780,609,Charge 4
2021-04-25T17:39:10Z,2,1690,-304,Charge 4
2021-04-25T17:39:11Z,1,1710,304,Charge 4
2021-04-25T17:39:12Z,3,1630,304,Charge 4
2021-04-25T17:39:13Z,2,1600,304,Charge 4
2021-04-25T17:39:14Z,2,1580,-609,Charge 4
2021-04-25T17:39:15Z,2,1580,-304,Charge 4
2021-04-25T17:39:16Z,3,1630,0,Charge 4
2021-04-25T17:39:17Z,2,1630,0,Charge 4
2021-04-25T17:39:18Z,1,1640,304,Charge 4
2021-04-25T17:39:19Z,2,1640,-304,Charge 4
2021-04-25T17:39:20Z,2,1640,-304,Charge 4
2021-04-25T17:39:21Z,2,1640,-304,Charge 4
