timestamp,steps,data source
2023-11-01T00:47:00Z,10,Charge 5
2023-11-01T05:32:00Z,6,Charge 5
2023-11-01T05:34:00Z,4,Charge 5
2023-11-01T05:40:00Z,13,Charge 5
2023-11-01T05:51:00Z,4,Charge 5
2023-11-01T05:55:00Z,8,Charge 5
2023-11-01T06:23:00Z,8,Charge 5
2023-11-01T06:24:00Z,8,Charge 5
2023-11-01T06:25:00Z,14,Charge 5
2023-11-01T06:37:00Z,13,Charge 5
2023-11-01T06:43:00Z,20,Charge 5
2023-11-01T06:58:00Z,7,Charge 5
2023-11-01T07:20:00Z,7,Charge 5
2023-11-01T07:21:00Z,8,Charge 5
2023-11-01T07:59:00Z,22,Charge 5
2023-11-01T08:00:00Z,18,Charge 5
2023-11-01T08:13:00Z,9,Charge 5
2023-11-01T08:19:00Z,18,Charge 5
2023-11-01T08:21:00Z,27,Charge 5
2023-11-01T08:48:00Z,24,Charge 5
2023-11-01T08:50:00Z,7,Charge 5
2023-11-01T08:53:00Z,16,Charge 5
2023-11-01T08:54:00Z,20,Charge 5
2023-11-01T08:55:00Z,11,Charge 5
2023-11-01T08:57:00Z,27,Charge 5
2023-11-01T08:58:00Z,27,Charge 5
2023-11-01T08:59:00Z,7,Charge 5
2023-11-01T09:00:00Z,19,Charge 5
2023-11-01T09:01:00Z,21,Charge 5
2023-11-01T09:02:00Z,14,Charge 5
2023-11-01T09:39:00Z,20,Charge 5
2023-11-01T10:51:00Z,8,Charge 5
2023-11-01T10:52:00Z,1,Charge 5
2023-11-01T10:56:00Z,6,Charge 5
2023-11-01T10:57:00Z,16,Charge 5
2023-11-01T10:58:00Z,22,Charge 5
2023-11-01T10:59:00Z,26,Charge 5
2023-11-01T11:01:00Z,24,Charge 5
2023-11-01T11:02:00Z,20,Charge 5
2023-11-01T11:03:00Z,25,Charge 5
2023-11-01T11:04:00Z,27,Charge 5
2023-11-01T11:05:00Z,32,Charge 5
2023-11-01T11:06:00Z,90,Charge 5
2023-11-01T11:07:00Z,106,Charge 5
2023-11-01T11:08:00Z,110,Charge 5
2023-11-01T11:09:00Z,107,Charge 5
2023-11-01T11:10:00Z,105,Charge 5
2023-11-01T11:11:00Z,105,Charge 5
2023-11-01T11:12:00Z,105,Charge 5
2023-11-01T11:13:00Z,111,Charge 5
2023-11-01T11:14:00Z,110,Charge 5
2023-11-01T11:15:00Z,109,Charge 5
2023-11-01T11:16:00Z,106,Charge 5
2023-11-01T11:17:00Z,110,Charge 5
2023-11-01T11:18:00Z,108,Charge 5
2023-11-01T11:19:00Z,106,Charge 5
2023-11-01T11:20:00Z,102,Charge 5
2023-11-01T11:21:00Z,108,Charge 5
2023-11-01T11:22:00Z,107,Charge 5
2023-11-01T11:23:00Z,100,Charge 5
2023-11-01T11:24:00Z,70,Charge 5
2023-11-01T11:25:00Z,86,Charge 5
2023-11-01T11:26:00Z,39,Charge 5
2023-11-01T11:27:00Z,22,Charge 5
2023-11-01T11:29:00Z,69,Charge 5
2023-11-01T11:31:00Z,23,Charge 5
2023-11-01T11:32:00Z,10,Charge 5
