timestamp,level,data source
2021-01-01T00:00:00Z,SEDENTARY,Fitbit App
2021-01-01T00:01:00Z,SEDENTARY,Fitbit App
2021-01-01T00:02:00Z,SEDENTARY,Fitbit App
2021-01-01T00:04:00Z,SEDENTARY,Fitbit App
2021-01-01T00:06:00Z,SEDENTARY,Fitbit App
2021-01-01T00:09:00Z,SEDENTARY,Fitbit App
2021-01-01T00:10:00Z,SEDENTARY,Fitbit App
2021-01-01T00:13:00Z,SEDENTARY,Fitbit App
2021-01-01T00:16:00Z,SEDENTARY,Fitbit App
2021-01-01T00:17:00Z,SEDENTARY,Fitbit App
2021-01-01T00:19:00Z,SEDENTARY,Fitbit App
2021-01-01T00:20:00Z,SEDENTARY,Fitbit App
2021-01-01T00:21:00Z,SEDENTARY,Fitbit App
2021-01-01T00:22:00Z,SEDENTARY,Fitbit App
2021-01-01T00:23:00Z,SEDENTARY,Fitbit App
2021-01-01T00:24:00Z,SEDENTARY,Fitbit App
2021-01-01T00:25:00Z,SEDENTARY,Fitbit App
2021-01-01T00:26:00Z,SEDENTARY,Fitbit App
2021-01-01T00:27:00Z,SEDENTARY,Fitbit App
2021-01-01T00:28:00Z,SEDENTARY,Fitbit App
2021-01-01T00:29:00Z,SEDENTARY,Fitbit App
2021-01-01T00:30:00Z,SEDENTARY,Fitbit App
2021-01-01T00:31:00Z,SEDENTARY,Fitbit App
2021-01-01T00:32:00Z,SEDENTARY,Fitbit App
2021-01-01T00:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-01-01T00:34:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-01-01T00:35:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-01-01T00:36:00Z,SEDENTARY,Fitbit App
2021-01-01T00:37:00Z,SEDENTARY,Fitbit App
2021-01-01T00:38:00Z,SEDENTARY,Fitbit App
2021-01-01T00:39:00Z,SEDENTARY,Fitbit App
2021-01-01T00:40:00Z,SEDENTARY,Fitbit App
2021-01-01T00:41:00Z,SEDENTARY,Fitbit App
2021-01-01T00:42:00Z,SEDENTARY,Fitbit App
2021-01-01T00:43:00Z,SEDENTARY,Fitbit App
2021-01-01T00:44:00Z,SEDENTARY,Fitbit App
2021-01-01T00:45:00Z,SEDENTARY,Fitbit App
2021-01-01T00:47:00Z,SEDENTARY,Fitbit App
2021-01-01T00:48:00Z,SEDENTARY,Fitbit App
2021-01-01T00:49:00Z,SEDENTARY,Fitbit App
2021-01-01T00:50:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-01-01T00:51:00Z,SEDENTARY,Fitbit App
2021-01-01T00:52:00Z,SEDENTARY,Fitbit App
2021-01-01T00:53:00Z,SEDENTARY,Fitbit App
2021-01-01T00:54:00Z,SEDENTARY,Fitbit App
2021-01-01T00:56:00Z,SEDENTARY,Fitbit App
2021-01-01T01:00:00Z,SEDENTARY,Fitbit App
2021-01-01T01:03:00Z,SEDENTARY,Fitbit App
2021-01-01T01:05:00Z,SEDENTARY,Fitbit App
2021-01-01T01:06:00Z,SEDENTARY,Fitbit App
2021-01-01T01:07:00Z,SEDENTARY,Fitbit App
2021-01-01T01:09:00Z,SEDENTARY,Fitbit App
