timestamp,distance,data source
2021-04-01T01:16:00Z,9.20,Charge 4
2021-04-01T03:54:00Z,4.60,Charge 4
2021-04-01T03:55:00Z,15.30,Charge 4
2021-04-01T06:05:00Z,4.60,Charge 4
2021-04-01T06:06:00Z,4.60,Charge 4
2021-04-01T06:19:00Z,3.00,Charge 4
2021-04-01T07:02:00Z,19.20,Charge 4
2021-04-01T07:03:00Z,29.10,Charge 4
2021-04-01T07:04:00Z,16.10,Charge 4
2021-04-01T07:15:00Z,3.00,Charge 4
2021-04-01T07:24:00Z,3.00,Charge 4
2021-04-01T07:26:00Z,8.40,Charge 4
2021-04-01T07:27:00Z,5.30,Charge 4
2021-04-01T07:32:00Z,3.00,Charge 4
2021-04-01T07:36:00Z,11.50,Charge 4
2021-04-01T07:43:00Z,7.60,Charge 4
2021-04-01T07:47:00Z,22.20,Charge 4
2021-04-01T07:48:00Z,36.10,Charge 4
2021-04-01T08:03:00Z,16.10,Charge 4
2021-04-01T08:27:00Z,12.20,Charge 4
2021-04-01T09:04:00Z,6.10,Charge 4
2021-04-01T09:26:00Z,16.90,Charge 4
2021-04-01T09:27:00Z,11.50,Charge 4
2021-04-01T09:58:00Z,20.70,Charge 4
2021-04-01T09:59:00Z,9.20,Charge 4
2021-04-01T10:00:00Z,24.60,Charge 4
2021-04-01T10:04:00Z,5.30,Charge 4
2021-04-01T10:12:00Z,22.20,Charge 4
2021-04-01T10:13:00Z,3.80,Charge 4
2021-04-01T10:14:00Z,10.70,Charge 4
2021-04-01T10:16:00Z,6.10,Charge 4
2021-04-01T10:17:00Z,9.20,Charge 4
2021-04-01T10:18:00Z,10.70,Charge 4
2021-04-01T10:19:00Z,13.00,Charge 4
2021-04-01T10:20:00Z,11.50,Charge 4
2021-04-01T10:21:00Z,8.40,Charge 4
2021-04-01T10:29:00Z,5.30,Charge 4
2021-04-01T10:36:00Z,6.90,Charge 4
2021-04-01T10:48:00Z,16.10,Charge 4
2021-04-01T10:49:00Z,23.80,Charge 4
2021-04-01T10:51:00Z,16.80,Charge 4
2021-04-01T11:09:00Z,10.00,Charge 4
2021-04-01T11:10:00Z,19.90,Charge 4
2021-04-01T11:12:00Z,13.80,Charge 4
2021-04-01T11:13:00Z,13.80,Charge 4
2021-04-01T11:14:00Z,22.20,Charge 4
2021-04-01T11:15:00Z,6.10,Charge 4
2021-04-01T11:16:00Z,9.20,Charge 4
2021-04-01T11:18:00Z,5.30,Charge 4
2021-04-01T11:19:00Z,6.10,Charge 4
2021-04-01T11:21:00Z,3.80,Charge 4
2021-04-01T11:30:00Z,3.80,Charge 4
2021-04-01T11:39:00Z,16.90,Charge 4
2021-04-01T11:40:00Z,16.80,Charge 4
2021-04-01T11:41:00Z,39.10,Charge 4
2021-04-01T11:42:00Z,6.90,Charge 4
2021-04-01T11:43:00Z,6.10,Charge 4
2021-04-01T12:00:00Z,8.40,Charge 4
2021-04-01T12:19:00Z,3.80,Charge 4
2021-04-01T13:05:00Z,4.60,Charge 4
2021-04-01T13:06:00Z,0.70,Charge 4
2021-04-01T13:34:00Z,5.30,Charge 4
2021-04-01T14:08:00Z,7.60,Charge 4
2021-04-01T14:09:00Z,11.50,Charge 4
2021-04-01T14:10:00Z,10.70,Charge 4
2021-04-01T14:16:00Z,9.90,Charge 4
2021-04-01T14:21:00Z,6.10,Charge 4
2021-04-01T14:23:00Z,4.60,Charge 4
2021-04-01T14:26:00Z,9.20,Charge 4
2021-04-01T14:46:00Z,4.60,Charge 4
2021-04-01T14:47:00Z,4.60,Charge 4
2021-04-01T14:48:00Z,10.70,Charge 4
2021-04-01T14:49:00Z,11.50,Charge 4
2021-04-01T14:50:00Z,3.00,Charge 4
2021-04-01T14:51:00Z,15.30,Charge 4
2021-04-01T14:52:00Z,14.60,Charge 4
2021-04-01T15:13:00Z,9.90,Charge 4
2021-04-01T15:14:00Z,9.20,Charge 4
2021-04-01T15:36:00Z,6.90,Charge 4
2021-04-01T15:37:00Z,1.50,Charge 4
2021-04-01T15:38:00Z,6.90,Charge 4
