timestamp,gain,data source
2021-12-01T15:34:00Z,3048,Charge 4
2021-12-01T15:56:00Z,3048,Charge 4
2021-12-01T16:01:00Z,3048,Charge 4
2021-12-01T16:07:00Z,3048,Charge 4
2021-12-01T16:11:00Z,3048,Charge 4
2021-12-01T16:41:00Z,3048,Charge 4
2021-12-01T17:10:00Z,3048,Charge 4
2021-12-01T18:15:00Z,3048,Charge 4
2021-12-01T18:16:00Z,3048,Charge 4
2021-12-01T18:17:00Z,3048,Charge 4
2021-12-01T18:36:00Z,3048,Charge 4
2021-12-01T20:13:00Z,3048,Charge 4
2021-12-01T20:15:00Z,3048,Charge 4
2021-12-01T20:19:00Z,3048,Charge 4
2021-12-01T20:22:00Z,3048,Charge 4
2021-12-01T20:26:00Z,3048,Charge 4
2021-12-02T17:19:00Z,3048,Charge 4
2021-12-02T18:41:00Z,3048,Charge 4
2021-12-02T19:20:00Z,3048,Charge 4
2021-12-02T19:23:00Z,3048,Charge 4
2021-12-02T19:30:00Z,3048,Charge 4
2021-12-03T17:53:00Z,3048,Charge 4
2021-12-03T19:01:00Z,3048,Charge 4
2021-12-03T19:11:00Z,3048,Charge 4
2021-12-03T19:18:00Z,3048,Charge 4
2021-12-04T12:35:00Z,3048,Charge 4
2021-12-04T13:03:00Z,3048,Charge 4
2021-12-04T13:08:00Z,6096,Charge 4
2021-12-04T13:28:00Z,3048,Charge 4
2021-12-04T13:55:00Z,9144,Charge 4
2021-12-04T13:56:00Z,3048,Charge 4
2021-12-04T14:12:00Z,6096,Charge 4
2021-12-04T14:14:00Z,3048,Charge 4
2021-12-04T14:15:00Z,6096,Charge 4
2021-12-04T14:16:00Z,9144,Charge 4
2021-12-04T14:35:00Z,3048,Charge 4
2021-12-04T14:36:00Z,3048,Charge 4
2021-12-04T14:38:00Z,6096,Charge 4
2021-12-04T14:40:00Z,3048,Charge 4
2021-12-04T14:42:00Z,3048,Charge 4
2021-12-04T14:43:00Z,3048,Charge 4
2021-12-04T14:46:00Z,3048,Charge 4
2021-12-04T14:47:00Z,3048,Charge 4
2021-12-04T14:48:00Z,6096,Charge 4
2021-12-04T14:49:00Z,3048,Charge 4
2021-12-04T14:53:00Z,3048,Charge 4
2021-12-04T14:58:00Z,3048,Charge 4
2021-12-04T14:59:00Z,3048,Charge 4
2021-12-04T15:00:00Z,3048,Charge 4
2021-12-04T15:01:00Z,6096,Charge 4
2021-12-04T15:02:00Z,3048,Charge 4
2021-12-04T15:04:00Z,3048,Charge 4
2021-12-04T15:05:00Z,3048,Charge 4
2021-12-04T15:06:00Z,3048,Charge 4
2021-12-04T15:07:00Z,3048,Charge 4
2021-12-04T17:53:00Z,3048,Charge 4
2021-12-04T22:36:00Z,3048,Charge 4
2021-12-05T00:00:00Z,3048,Charge 4
2021-12-05T01:08:00Z,3048,Charge 4
2021-12-05T09:54:00Z,3048,Charge 4
2021-12-05T13:53:00Z,3048,Charge 4
