timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2024-02-04T00:00:00Z,92.1,90.4,92.1,95.3,1.5,Charge 5
2024-02-05T00:00:00Z,95.1,93.8,97.7,95.4,1.5,Charge 5
2024-02-08T00:00:00Z,95.8,92.4,99.1,95.3,1.4,Charge 5
2024-02-09T00:00:00Z,95.2,95.2,95.8,95.3,1.4,Charge 5
2024-02-10T00:00:00Z,95.9,93.9,97.3,95.4,1.4,Charge 5
2024-02-11T00:00:00Z,95.4,93.9,96.5,95.5,1.3,Charge 5
2024-02-12T00:00:00Z,95.3,90.2,98.8,95.5,1.3,Charge 5
2024-02-13T00:00:00Z,97.3,91.7,100.0,95.6,1.3,Charge 5
2024-02-14T00:00:00Z,91.9,86.6,95.8,95.6,1.4,Charge 5
2024-02-15T00:00:00Z,94.0,92.0,95.7,95.6,1.4,Charge 5
2024-02-16T00:00:00Z,94.5,91.4,98.4,95.4,1.4,Charge 5
2024-02-17T00:00:00Z,96.0,94.2,98.8,95.5,1.4,Charge 5
2024-02-19T00:00:00Z,94.7,94.3,98.0,95.4,1.3,Charge 5
2024-02-23T00:00:00Z,95.4,95.0,96.1,95.4,1.3,Charge 5
2024-02-24T00:00:00Z,96.2,91.3,98.9,95.4,1.3,Charge 5
2024-02-26T00:00:00Z,92.2,89.6,95.3,95.3,1.4,Charge 5
2024-02-28T00:00:00Z,94.2,92.3,96.3,95.2,1.4,Charge 5
