start time,end time,data source
2023-05-06T04:12:00Z,2023-05-06T04:38:00Z,Fitbit App
2023-05-06T04:43:00Z,2023-05-06T06:10:00Z,Fitbit App
2023-05-06T06:12:00Z,2023-05-06T06:50:00Z,Fitbit App
2023-05-06T07:00:00Z,2023-05-06T07:25:00Z,Fitbit App
2023-05-06T07:33:00Z,2023-05-06T08:07:00Z,Fitbit App
2023-05-06T08:37:00Z,2023-05-06T08:49:00Z,Fitbit App
2023-05-06T09:57:00Z,2023-05-06T10:16:00Z,Fitbit App
2023-05-06T11:26:00Z,2023-05-06T11:37:00Z,Fitbit App
2023-05-06T12:00:00Z,2023-05-06T12:11:00Z,Fitbit App
2023-05-06T12:12:00Z,2023-05-06T12:22:00Z,Fitbit App
2023-05-06T12:57:00Z,2023-05-06T13:09:00Z,Fitbit App
2023-05-06T13:58:00Z,2023-05-06T14:17:00Z,Fitbit App
2023-05-06T14:26:00Z,2023-05-06T14:38:00Z,Fitbit App
2023-05-06T14:42:00Z,2023-05-06T14:55:00Z,Fitbit App
2023-05-06T15:18:00Z,2023-05-06T16:08:00Z,Fitbit App
2023-05-06T16:09:00Z,2023-05-06T17:00:00Z,Fitbit App
2023-05-06T17:51:00Z,2023-05-06T19:29:00Z,Fitbit App
2023-05-06T21:47:00Z,2023-05-06T22:00:00Z,Fitbit App
