start time,end time,data source
2023-06-06T06:51:00Z,2023-06-06T08:27:00Z,Fitbit App
2023-06-06T08:36:00Z,2023-06-06T09:20:00Z,Fitbit App
2023-06-06T11:01:00Z,2023-06-06T11:30:00Z,Fitbit App
2023-06-06T11:39:00Z,2023-06-06T12:18:00Z,Fitbit App
2023-06-06T12:23:00Z,2023-06-06T12:47:00Z,Fitbit App
2023-06-06T13:06:00Z,2023-06-06T13:28:00Z,Fitbit App
2023-06-06T13:32:00Z,2023-06-06T15:18:00Z,Fitbit App
2023-06-06T16:19:00Z,2023-06-06T17:23:00Z,Fitbit App
2023-06-06T17:34:00Z,2023-06-06T17:44:00Z,Fitbit App
2023-06-06T17:46:00Z,2023-06-06T17:56:00Z,Fitbit App
2023-06-06T19:06:00Z,2023-06-06T19:54:00Z,Fitbit App
2023-06-06T19:59:00Z,2023-06-06T21:31:00Z,Fitbit App
2023-06-06T21:42:00Z,2023-06-06T22:00:00Z,Fitbit App
2023-06-06T22:00:00Z,2023-06-06T22:33:00Z,Fitbit App
