timestamp,level,data source
2021-10-01T00:12:00Z,SEDENTARY,Fitbit App
2021-10-01T00:13:00Z,SEDENTARY,Fitbit App
2021-10-01T00:14:00Z,SEDENTARY,Fitbit App
2021-10-01T00:26:00Z,SEDENTARY,Fitbit App
2021-10-01T00:34:00Z,SEDENTARY,Fitbit App
2021-10-01T01:27:00Z,SEDENTARY,Fitbit App
2021-10-01T01:28:00Z,SEDENTARY,Fitbit App
2021-10-01T01:40:00Z,SEDENTARY,Fitbit App
2021-10-01T01:41:00Z,SEDENTARY,Fitbit App
2021-10-01T01:42:00Z,SEDENTARY,Fitbit App
2021-10-01T01:43:00Z,SEDENTARY,Fitbit App
2021-10-01T01:49:00Z,SEDENTARY,Fitbit App
2021-10-01T01:55:00Z,SEDENTARY,Fitbit App
2021-10-01T01:56:00Z,SEDENTARY,Fitbit App
2021-10-01T02:11:00Z,SEDENTARY,Fitbit App
2021-10-01T04:08:00Z,SEDENTARY,Fitbit App
2021-10-01T04:25:00Z,SEDENTARY,Fitbit App
2021-10-01T04:40:00Z,SEDENTARY,Fitbit App
2021-10-01T04:56:00Z,SEDENTARY,Fitbit App
2021-10-01T05:03:00Z,SEDENTARY,Fitbit App
2021-10-01T06:26:00Z,SEDENTARY,Fitbit App
2021-10-01T06:27:00Z,SEDENTARY,Fitbit App
2021-10-01T06:28:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T06:29:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T06:45:00Z,SEDENTARY,Fitbit App
2021-10-01T07:37:00Z,SEDENTARY,Fitbit App
2021-10-01T07:38:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T07:39:00Z,SEDENTARY,Fitbit App
2021-10-01T07:40:00Z,SEDENTARY,Fitbit App
2021-10-01T07:41:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T07:42:00Z,SEDENTARY,Fitbit App
2021-10-01T07:43:00Z,SEDENTARY,Fitbit App
2021-10-01T07:44:00Z,SEDENTARY,Fitbit App
2021-10-01T07:45:00Z,SEDENTARY,Fitbit App
2021-10-01T07:53:00Z,SEDENTARY,Fitbit App
2021-10-01T07:54:00Z,SEDENTARY,Fitbit App
2021-10-01T08:01:00Z,SEDENTARY,Fitbit App
2021-10-01T08:02:00Z,SEDENTARY,Fitbit App
2021-10-01T08:03:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:04:00Z,SEDENTARY,Fitbit App
2021-10-01T08:05:00Z,SEDENTARY,Fitbit App
2021-10-01T08:06:00Z,SEDENTARY,Fitbit App
2021-10-01T08:07:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:08:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:09:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:10:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:11:00Z,SEDENTARY,Fitbit App
2021-10-01T08:12:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:13:00Z,SEDENTARY,Fitbit App
2021-10-01T08:15:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:18:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:19:00Z,MODERATELY_ACTIVE,Fitbit App
2021-10-01T08:20:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:22:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:23:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:24:00Z,SEDENTARY,Fitbit App
2021-10-01T08:43:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:44:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:45:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:46:00Z,LIGHTLY_ACTIVE,Fitbit App
2021-10-01T08:47:00Z,SEDENTARY,Fitbit App
2021-10-01T08:48:00Z,SEDENTARY,Fitbit App
2021-10-01T08:49:00Z,SEDENTARY,Fitbit App
2021-10-01T08:50:00Z,SEDENTARY,Fitbit App
