timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2024-01-02T00:00:00Z,93.4,93.4,93.4,95.0,1.4,Charge 5
2024-01-03T00:00:00Z,94.1,91.9,95.9,94.9,1.4,Charge 5
2024-01-05T00:00:00Z,98.0,95.2,100.0,95.0,1.5,Charge 5
2024-01-07T00:00:00Z,95.2,94.1,96.4,95.0,1.4,Charge 5
2024-01-08T00:00:00Z,97.2,97.2,99.1,95.2,1.4,Charge 5
2024-01-09T00:00:00Z,94.9,94.3,95.6,95.2,1.4,Charge 5
2024-01-10T00:00:00Z,96.0,94.7,98.1,95.2,1.4,Charge 5
2024-01-11T00:00:00Z,96.8,96.8,96.8,95.3,1.4,Charge 5
2024-01-14T00:00:00Z,96.4,94.7,99.1,95.4,1.4,Charge 5
2024-01-15T00:00:00Z,97.7,96.8,98.6,95.4,1.5,Charge 5
2024-01-16T00:00:00Z,95.5,92.4,98.3,95.5,1.5,Charge 5
2024-01-17T00:00:00Z,95.8,95.3,96.6,95.4,1.4,Charge 5
2024-01-18T00:00:00Z,96.5,93.2,98.9,95.5,1.4,Charge 5
2024-01-19T00:00:00Z,94.8,91.8,97.7,95.4,1.4,Charge 5
2024-01-21T00:00:00Z,96.9,93.9,99.0,95.5,1.4,Charge 5
2024-01-22T00:00:00Z,95.4,94.9,95.6,95.5,1.4,Charge 5
2024-01-23T00:00:00Z,97.5,95.9,99.3,95.6,1.4,Charge 5
2024-01-24T00:00:00Z,94.6,90.9,97.6,95.5,1.4,Charge 5
2024-01-25T00:00:00Z,94.1,90.1,97.9,95.4,1.4,Charge 5
2024-01-26T00:00:00Z,95.4,92.4,98.6,95.4,1.4,Charge 5
2024-01-27T00:00:00Z,95.4,93.0,97.2,95.5,1.4,Charge 5
2024-01-28T00:00:00Z,94.8,92.0,97.2,95.5,1.4,Charge 5
