timestamp,level,data source
2025-03-01T15:18:38Z,VERY_ACTIVE,Fitbit App
2025-03-01T15:19:38Z,VERY_ACTIVE,Fitbit App
2025-03-01T15:20:38Z,VERY_ACTIVE,Fitbit App
2025-03-01T15:21:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T15:22:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T15:23:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T15:24:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T15:25:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T15:26:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T15:32:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T15:33:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T15:34:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T16:12:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T16:13:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T16:30:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T16:31:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T16:54:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T16:55:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T16:58:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T16:59:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:00:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T17:01:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:29:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:30:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:31:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:32:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:33:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:34:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T17:44:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:45:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:46:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T17:47:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:48:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:49:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T17:50:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:51:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:52:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:53:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:54:38Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T17:55:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T17:56:38Z,SEDENTARY,Fitbit App
2025-03-01T17:57:38Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:08:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:09:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:24:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:25:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:27:35Z,SEDENTARY,Fitbit App
2025-03-01T18:28:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:29:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:33:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:34:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:35:35Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T18:36:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:37:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:40:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:41:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:42:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T18:43:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T19:54:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T19:55:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T19:56:35Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T19:57:35Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T19:58:35Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T19:59:15Z,VERY_ACTIVE,Fitbit App
2025-03-01T20:00:15Z,VERY_ACTIVE,Fitbit App
2025-03-01T20:01:15Z,VERY_ACTIVE,Fitbit App
2025-03-01T20:02:15Z,VERY_ACTIVE,Fitbit App
2025-03-01T20:03:15Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T20:09:15Z,LIGHTLY_ACTIVE,Fitbit App
