timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2023-11-02T00:00:00Z,96.4,96.4,96.8,95.4,1.6,Charge 5
2023-11-03T00:00:00Z,97.6,95.3,100.0,95.5,1.7,Charge 5
2023-11-04T00:00:00Z,92.1,92.1,94.3,95.5,1.4,Charge 5
2023-11-05T00:00:00Z,95.7,90.3,99.8,95.5,1.4,Charge 5
2023-11-06T00:00:00Z,95.2,91.8,97.5,95.6,1.4,Charge 5
2023-11-09T00:00:00Z,94.3,92.5,96.3,95.5,1.4,Charge 5
2023-11-10T00:00:00Z,93.5,93.5,93.5,95.5,1.5,Charge 5
2023-11-11T00:00:00Z,95.1,89.8,99.1,95.4,1.5,Charge 5
2023-11-12T00:00:00Z,94.4,94.4,94.5,95.4,1.5,Charge 5
2023-11-13T00:00:00Z,96.4,94.2,99.4,95.4,1.5,Charge 5
2023-11-14T00:00:00Z,95.6,91.9,99.2,95.4,1.5,Charge 5
2023-11-15T00:00:00Z,94.6,93.5,95.9,95.3,1.5,Charge 5
2023-11-16T00:00:00Z,95.5,90.9,99.4,95.3,1.5,Charge 5
2023-11-17T00:00:00Z,96.2,94.1,98.1,95.3,1.4,Charge 5
2023-11-18T00:00:00Z,96.5,93.9,99.1,95.3,1.4,Charge 5
2023-11-19T00:00:00Z,95.8,92.6,99.1,95.3,1.4,Charge 5
2023-11-20T00:00:00Z,95.4,91.1,98.9,95.3,1.3,Charge 5
2023-11-21T00:00:00Z,94.9,92.2,96.9,95.3,1.3,Charge 5
2023-11-22T00:00:00Z,96.3,96.3,96.3,95.3,1.3,Charge 5
2023-11-23T00:00:00Z,93.9,90.0,97.9,95.3,1.3,Charge 5
2023-11-24T00:00:00Z,95.0,93.5,96.9,95.4,1.2,Charge 5
2023-11-25T00:00:00Z,95.2,91.4,98.5,95.4,1.2,Charge 5
2023-11-26T00:00:00Z,93.0,91.5,94.4,95.3,1.3,Charge 5
2023-11-27T00:00:00Z,92.9,90.0,95.1,95.2,1.3,Charge 5
2023-11-28T00:00:00Z,93.8,88.1,98.7,95.1,1.3,Charge 5
2023-11-29T00:00:00Z,95.1,92.1,96.9,95.1,1.3,Charge 5
2023-11-30T00:00:00Z,93.8,93.0,94.5,95.0,1.3,Charge 5
