timestamp,distance,data source
2023-06-03T14:07:00Z,22.20,Charge 5
2023-06-03T14:08:00Z,12.20,Charge 5
2023-06-03T14:13:00Z,38.40,Charge 5
2023-06-03T14:19:00Z,4.60,Charge 5
2023-06-03T14:20:00Z,8.40,Charge 5
2023-06-03T14:25:00Z,15.30,Charge 5
2023-06-03T14:27:00Z,5.30,Charge 5
2023-06-03T14:30:00Z,4.60,Charge 5
2023-06-03T14:42:00Z,5.30,Charge 5
2023-06-03T14:45:00Z,16.10,Charge 5
2023-06-03T14:48:00Z,6.90,Charge 5
2023-06-03T14:55:00Z,6.10,Charge 5
2023-06-03T14:56:00Z,14.50,Charge 5
2023-06-03T15:06:00Z,4.60,Charge 5
2023-06-03T15:14:00Z,10.70,Charge 5
2023-06-03T15:16:00Z,15.30,Charge 5
2023-06-03T15:17:00Z,28.40,Charge 5
2023-06-03T15:18:00Z,21.50,Charge 5
2023-06-03T15:19:00Z,76.10,Charge 5
2023-06-03T15:20:00Z,78.40,Charge 5
2023-06-03T15:21:00Z,75.30,Charge 5
2023-06-03T15:22:00Z,76.80,Charge 5
2023-06-03T15:23:00Z,76.10,Charge 5
2023-06-03T15:24:00Z,76.80,Charge 5
2023-06-03T15:25:00Z,69.10,Charge 5
2023-06-03T15:26:00Z,76.80,Charge 5
2023-06-03T15:27:00Z,74.50,Charge 5
2023-06-03T15:28:00Z,78.40,Charge 5
2023-06-03T15:29:00Z,76.00,Charge 5
2023-06-03T15:30:00Z,79.90,Charge 5
2023-06-03T15:31:00Z,79.10,Charge 5
2023-06-03T15:32:00Z,73.00,Charge 5
2023-06-03T15:33:00Z,71.40,Charge 5
2023-06-03T15:34:00Z,78.40,Charge 5
2023-06-03T15:35:00Z,76.10,Charge 5
2023-06-03T15:36:00Z,78.40,Charge 5
2023-06-03T15:37:00Z,75.30,Charge 5
2023-06-03T15:38:00Z,69.90,Charge 5
2023-06-03T15:39:00Z,67.60,Charge 5
2023-06-03T15:40:00Z,78.40,Charge 5
2023-06-03T15:41:00Z,76.80,Charge 5
2023-06-03T15:42:00Z,65.30,Charge 5
2023-06-03T15:43:00Z,35.30,Charge 5
2023-06-03T15:44:00Z,14.60,Charge 5
2023-06-03T15:45:00Z,6.10,Charge 5
2023-06-03T15:47:00Z,42.20,Charge 5
2023-06-03T15:50:00Z,6.90,Charge 5
2023-06-03T15:51:00Z,29.90,Charge 5
2023-06-03T15:52:00Z,3.00,Charge 5
2023-06-03T15:53:00Z,31.50,Charge 5
2023-06-03T15:55:00Z,7.60,Charge 5
2023-06-03T15:56:00Z,14.60,Charge 5
2023-06-03T15:57:00Z,9.90,Charge 5
2023-06-03T15:58:00Z,56.10,Charge 5
2023-06-03T15:59:00Z,67.60,Charge 5
2023-06-03T16:00:00Z,73.00,Charge 5
2023-06-03T16:01:00Z,65.30,Charge 5
2023-06-03T16:02:00Z,63.00,Charge 5
2023-06-03T16:03:00Z,71.40,Charge 5
2023-06-03T16:04:00Z,67.60,Charge 5
2023-06-03T16:05:00Z,58.30,Charge 5
2023-06-03T16:06:00Z,30.70,Charge 5
2023-06-03T16:10:00Z,21.50,Charge 5
2023-06-03T16:11:00Z,44.50,Charge 5
2023-06-03T16:12:00Z,16.90,Charge 5
2023-06-03T16:13:00Z,24.50,Charge 5
2023-06-03T16:16:00Z,26.10,Charge 5
2023-06-03T16:17:00Z,29.10,Charge 5
2023-06-03T16:18:00Z,14.60,Charge 5
2023-06-03T16:19:00Z,5.30,Charge 5
2023-06-03T16:21:00Z,16.10,Charge 5
2023-06-03T16:22:00Z,7.60,Charge 5
2023-06-03T16:24:00Z,7.60,Charge 5
2023-06-03T16:25:00Z,13.80,Charge 5
2023-06-03T16:27:00Z,23.80,Charge 5
2023-06-03T16:28:00Z,56.00,Charge 5
2023-06-03T16:29:00Z,56.10,Charge 5
2023-06-03T16:30:00Z,33.70,Charge 5
