timestamp,light,moderate,very,data source
2023-05-01T11:31:00Z,1,0,0,Fitbit App
2023-05-01T11:32:00Z,1,0,0,Fitbit App
2023-05-01T11:33:00Z,1,0,0,Fitbit App
2023-05-01T11:58:00Z,1,0,0,Fitbit App
2023-05-01T12:00:00Z,1,0,0,Fitbit App
2023-05-01T12:27:00Z,1,0,0,Fitbit App
2023-05-01T12:28:00Z,1,0,0,Fitbit App
2023-05-01T14:48:00Z,1,0,0,Fitbit App
2023-05-01T14:49:00Z,1,0,0,Fitbit App
2023-05-01T15:46:00Z,1,0,0,Fitbit App
2023-05-01T15:47:00Z,1,0,0,Fitbit App
2023-05-01T15:49:00Z,1,0,0,Fitbit App
2023-05-01T15:50:00Z,1,0,0,Fitbit App
2023-05-01T16:03:00Z,1,0,0,Fitbit App
2023-05-01T16:04:00Z,1,0,0,Fitbit App
2023-05-01T16:08:00Z,1,0,0,Fitbit App
2023-05-01T16:12:00Z,1,0,0,Fitbit App
2023-05-01T16:21:00Z,1,0,0,Fitbit App
2023-05-01T16:27:00Z,1,0,0,Fitbit App
2023-05-01T16:28:00Z,1,0,0,Fitbit App
2023-05-01T16:29:00Z,1,0,0,Fitbit App
2023-05-01T16:30:00Z,1,0,0,Fitbit App
2023-05-01T16:31:00Z,1,0,0,Fitbit App
2023-05-01T17:07:00Z,1,0,0,Fitbit App
2023-05-01T17:42:00Z,1,0,0,Fitbit App
2023-05-01T17:50:00Z,1,0,0,Fitbit App
2023-05-01T17:55:00Z,1,0,0,Fitbit App
2023-05-01T18:16:00Z,1,0,0,Fitbit App
2023-05-01T18:22:00Z,1,0,0,Fitbit App
2023-05-01T18:23:00Z,1,0,0,Fitbit App
2023-05-01T18:27:00Z,1,0,0,Fitbit App
2023-05-01T18:32:00Z,1,0,0,Fitbit App
2023-05-01T18:46:00Z,1,0,0,Fitbit App
2023-05-01T19:29:00Z,1,0,0,Fitbit App
2023-05-01T19:30:00Z,1,0,0,Fitbit App
2023-05-01T20:35:00Z,1,0,0,Fitbit App
2023-05-02T04:15:00Z,1,0,0,Fitbit App
2023-05-02T04:16:00Z,1,0,0,Fitbit App
2023-05-02T04:42:00Z,1,0,0,Fitbit App
2023-05-02T04:43:00Z,1,0,0,Fitbit App
2023-05-02T04:44:00Z,1,0,0,Fitbit App
2023-05-02T04:52:00Z,1,0,0,Fitbit App
2023-05-02T04:53:00Z,1,0,0,Fitbit App
2023-05-02T04:54:00Z,1,0,0,Fitbit App
2023-05-02T04:55:00Z,1,0,0,Fitbit App
2023-05-02T04:56:00Z,1,0,0,Fitbit App
2023-05-02T04:57:00Z,1,0,0,Fitbit App
2023-05-02T04:58:00Z,1,0,0,Fitbit App
2023-05-02T04:59:00Z,1,0,0,Fitbit App
2023-05-02T05:00:00Z,1,0,0,Fitbit App
2023-05-02T05:01:00Z,1,0,0,Fitbit App
2023-05-02T05:11:00Z,1,0,0,Fitbit App
2023-05-02T05:17:00Z,1,0,0,Fitbit App
2023-05-02T05:18:00Z,1,0,0,Fitbit App
2023-05-02T05:19:00Z,1,0,0,Fitbit App
2023-05-02T05:20:00Z,1,0,0,Fitbit App
2023-05-02T05:21:00Z,1,0,0,Fitbit App
2023-05-02T05:37:00Z,1,0,0,Fitbit App
2023-05-02T05:39:00Z,1,0,0,Fitbit App
2023-05-02T05:59:00Z,1,0,0,Fitbit App
2023-05-02T06:00:00Z,1,0,0,Fitbit App
2023-05-02T06:01:00Z,1,0,0,Fitbit App
2023-05-02T06:02:00Z,1,0,0,Fitbit App
2023-05-02T06:03:00Z,1,0,0,Fitbit App
2023-05-02T06:04:00Z,1,0,0,Fitbit App
2023-05-02T06:05:00Z,1,0,0,Fitbit App
2023-05-02T06:06:00Z,1,0,0,Fitbit App
2023-05-02T06:07:00Z,1,0,0,Fitbit App
2023-05-02T06:08:00Z,1,0,0,Fitbit App
2023-05-02T06:09:00Z,1,0,0,Fitbit App
2023-05-02T06:10:00Z,1,0,0,Fitbit App
2023-05-02T06:13:00Z,1,0,0,Fitbit App
2023-05-02T06:14:00Z,1,0,0,Fitbit App
2023-05-02T06:15:00Z,1,0,0,Fitbit App
2023-05-02T06:19:00Z,1,0,0,Fitbit App
2023-05-02T06:20:00Z,1,0,0,Fitbit App
2023-05-02T06:39:00Z,1,0,0,Fitbit App
2023-05-02T06:41:00Z,1,0,0,Fitbit App
2023-05-02T06:46:00Z,1,0,0,Fitbit App
2023-05-02T06:47:00Z,1,0,0,Fitbit App
2023-05-02T06:50:00Z,1,0,0,Fitbit App
2023-05-02T06:51:00Z,1,0,0,Fitbit App
2023-05-02T06:52:00Z,1,0,0,Fitbit App
2023-05-02T06:54:00Z,1,0,0,Fitbit App
2023-05-02T07:00:00Z,1,0,0,Fitbit App
2023-05-02T07:03:00Z,1,0,0,Fitbit App
2023-05-02T07:17:00Z,1,0,0,Fitbit App
2023-05-02T07:19:00Z,1,0,0,Fitbit App
2023-05-02T07:20:00Z,1,0,0,Fitbit App
2023-05-02T07:21:00Z,1,0,0,Fitbit App
2023-05-02T07:52:00Z,1,0,0,Fitbit App
2023-05-02T07:53:00Z,1,0,0,Fitbit App
2023-05-02T07:54:00Z,1,0,0,Fitbit App
2023-05-02T07:55:00Z,1,0,0,Fitbit App
2023-05-02T07:56:00Z,1,0,0,Fitbit App
2023-05-02T07:57:00Z,1,0,0,Fitbit App
2023-05-02T07:58:00Z,1,0,0,Fitbit App
2023-05-02T08:07:00Z,1,0,0,Fitbit App
2023-05-02T08:08:00Z,1,0,0,Fitbit App
2023-05-02T08:09:00Z,1,0,0,Fitbit App
2023-05-02T08:10:00Z,1,0,0,Fitbit App
2023-05-02T08:13:00Z,1,0,0,Fitbit App
2023-05-02T08:20:00Z,1,0,0,Fitbit App
2023-05-02T08:21:00Z,1,0,0,Fitbit App
2023-05-02T08:23:00Z,1,0,0,Fitbit App
2023-05-02T08:24:00Z,1,0,0,Fitbit App
2023-05-02T08:25:00Z,1,0,0,Fitbit App
2023-05-02T08:26:00Z,1,0,0,Fitbit App
2023-05-02T08:27:00Z,1,0,0,Fitbit App
2023-05-02T08:45:00Z,1,0,0,Fitbit App
2023-05-02T09:20:00Z,1,0,0,Fitbit App
2023-05-02T09:21:00Z,0,1,0,Fitbit App
2023-05-02T09:22:00Z,1,0,0,Fitbit App
2023-05-02T09:23:00Z,1,0,0,Fitbit App
2023-05-02T09:24:00Z,0,1,0,Fitbit App
2023-05-02T09:25:00Z,0,1,0,Fitbit App
2023-05-02T09:26:00Z,0,1,0,Fitbit App
2023-05-02T09:27:00Z,1,0,0,Fitbit App
2023-05-02T09:29:00Z,0,1,0,Fitbit App
2023-05-02T09:30:00Z,0,0,1,Fitbit App
2023-05-02T09:31:00Z,1,0,0,Fitbit App
2023-05-02T09:32:00Z,1,0,0,Fitbit App
2023-05-02T09:33:00Z,1,0,0,Fitbit App
2023-05-02T09:34:00Z,1,0,0,Fitbit App
2023-05-02T09:35:00Z,1,0,0,Fitbit App
2023-05-02T09:36:00Z,1,0,0,Fitbit App
2023-05-02T09:37:00Z,1,0,0,Fitbit App
2023-05-02T09:39:00Z,1,0,0,Fitbit App
2023-05-02T09:40:00Z,1,0,0,Fitbit App
2023-05-02T09:56:00Z,1,0,0,Fitbit App
2023-05-02T09:57:00Z,1,0,0,Fitbit App
2023-05-02T10:00:00Z,1,0,0,Fitbit App
2023-05-02T10:06:00Z,1,0,0,Fitbit App
2023-05-02T10:13:00Z,1,0,0,Fitbit App
2023-05-02T10:23:00Z,1,0,0,Fitbit App
2023-05-02T10:24:00Z,1,0,0,Fitbit App
2023-05-02T10:36:00Z,1,0,0,Fitbit App
2023-05-02T10:42:00Z,1,0,0,Fitbit App
2023-05-02T10:44:00Z,1,0,0,Fitbit App
2023-05-02T10:45:00Z,1,0,0,Fitbit App
2023-05-02T10:46:00Z,1,0,0,Fitbit App
2023-05-02T10:49:00Z,1,0,0,Fitbit App
2023-05-02T10:54:00Z,1,0,0,Fitbit App
2023-05-02T10:55:00Z,1,0,0,Fitbit App
2023-05-02T10:56:00Z,1,0,0,Fitbit App
2023-05-02T11:04:00Z,1,0,0,Fitbit App
2023-05-02T11:05:00Z,1,0,0,Fitbit App
2023-05-02T11:09:00Z,1,0,0,Fitbit App
2023-05-02T11:14:00Z,1,0,0,Fitbit App
2023-05-02T11:23:00Z,1,0,0,Fitbit App
2023-05-02T11:37:00Z,1,0,0,Fitbit App
2023-05-02T11:38:00Z,1,0,0,Fitbit App
2023-05-02T11:42:00Z,1,0,0,Fitbit App
2023-05-02T11:55:00Z,1,0,0,Fitbit App
2023-05-02T12:06:00Z,1,0,0,Fitbit App
2023-05-02T12:16:00Z,1,0,0,Fitbit App
2023-05-02T12:29:00Z,1,0,0,Fitbit App
2023-05-02T12:30:00Z,1,0,0,Fitbit App
2023-05-02T12:31:00Z,1,0,0,Fitbit App
2023-05-02T12:32:00Z,1,0,0,Fitbit App
2023-05-02T12:40:00Z,1,0,0,Fitbit App
2023-05-02T12:46:00Z,1,0,0,Fitbit App
2023-05-02T12:47:00Z,1,0,0,Fitbit App
2023-05-02T12:48:00Z,1,0,0,Fitbit App
2023-05-02T12:49:00Z,1,0,0,Fitbit App
2023-05-02T12:50:00Z,1,0,0,Fitbit App
2023-05-02T12:51:00Z,1,0,0,Fitbit App
2023-05-02T12:52:00Z,1,0,0,Fitbit App
2023-05-02T12:53:00Z,1,0,0,Fitbit App
2023-05-02T12:54:00Z,1,0,0,Fitbit App
2023-05-02T12:55:00Z,1,0,0,Fitbit App
2023-05-02T13:01:00Z,1,0,0,Fitbit App
2023-05-02T13:02:00Z,1,0,0,Fitbit App
2023-05-02T13:03:00Z,1,0,0,Fitbit App
2023-05-02T13:15:00Z,1,0,0,Fitbit App
2023-05-02T13:16:00Z,1,0,0,Fitbit App
2023-05-02T13:24:00Z,1,0,0,Fitbit App
2023-05-02T13:35:00Z,1,0,0,Fitbit App
2023-05-02T13:48:00Z,1,0,0,Fitbit App
2023-05-02T13:59:00Z,1,0,0,Fitbit App
2023-05-02T14:01:00Z,1,0,0,Fitbit App
2023-05-02T14:26:00Z,1,0,0,Fitbit App
2023-05-02T14:27:00Z,1,0,0,Fitbit App
2023-05-02T14:28:00Z,1,0,0,Fitbit App
2023-05-02T14:32:00Z,1,0,0,Fitbit App
2023-05-02T14:43:00Z,1,0,0,Fitbit App
2023-05-02T14:44:00Z,1,0,0,Fitbit App
2023-05-02T14:45:00Z,1,0,0,Fitbit App
2023-05-02T14:46:00Z,1,0,0,Fitbit App
2023-05-02T14:47:00Z,1,0,0,Fitbit App
2023-05-02T14:48:00Z,1,0,0,Fitbit App
2023-05-02T14:49:00Z,1,0,0,Fitbit App
2023-05-02T14:50:00Z,1,0,0,Fitbit App
2023-05-02T14:51:00Z,1,0,0,Fitbit App
2023-05-02T14:57:00Z,1,0,0,Fitbit App
2023-05-02T15:00:00Z,1,0,0,Fitbit App
2023-05-02T15:15:00Z,1,0,0,Fitbit App
2023-05-02T15:20:00Z,1,0,0,Fitbit App
2023-05-02T15:21:00Z,0,1,0,Fitbit App
2023-05-02T15:22:00Z,0,1,0,Fitbit App
2023-05-02T15:23:00Z,0,1,0,Fitbit App
2023-05-02T15:24:00Z,0,0,1,Fitbit App
2023-05-02T15:25:00Z,0,0,1,Fitbit App
