start time,end time,data source
2023-05-02T04:00:00Z,2023-05-02T04:15:00Z,Fitbit App
2023-05-02T05:03:00Z,2023-05-02T05:17:00Z,Fitbit App
2023-05-02T05:23:00Z,2023-05-02T05:39:00Z,Fitbit App
2023-05-02T05:40:00Z,2023-05-02T05:59:00Z,Fitbit App
2023-05-02T06:21:00Z,2023-05-02T06:39:00Z,Fitbit App
2023-05-02T07:01:00Z,2023-05-02T07:20:00Z,Fitbit App
2023-05-02T07:22:00Z,2023-05-02T07:51:00Z,Fitbit App
2023-05-02T08:11:00Z,2023-05-02T08:23:00Z,Fitbit App
2023-05-02T08:28:00Z,2023-05-02T09:20:00Z,Fitbit App
2023-05-02T09:41:00Z,2023-05-02T09:56:00Z,Fitbit App
2023-05-02T09:58:00Z,2023-05-02T10:13:00Z,Fitbit App
2023-05-02T10:14:00Z,2023-05-02T10:42:00Z,Fitbit App
2023-05-02T11:15:00Z,2023-05-02T12:29:00Z,Fitbit App
2023-05-02T12:33:00Z,2023-05-02T12:46:00Z,Fitbit App
2023-05-02T13:04:00Z,2023-05-02T13:59:00Z,Fitbit App
2023-05-02T14:02:00Z,2023-05-02T14:26:00Z,Fitbit App
2023-05-02T14:28:00Z,2023-05-02T14:43:00Z,Fitbit App
2023-05-02T14:58:00Z,2023-05-02T15:20:00Z,Fitbit App
2023-05-02T15:44:00Z,2023-05-02T16:21:00Z,Fitbit App
2023-05-02T17:04:00Z,2023-05-02T17:49:00Z,Fitbit App
2023-05-02T18:03:00Z,2023-05-02T19:13:00Z,Fitbit App
2023-05-02T19:31:00Z,2023-05-02T19:45:00Z,Fitbit App
2023-05-02T19:59:00Z,2023-05-02T20:27:00Z,Fitbit App
2023-05-02T20:32:00Z,2023-05-02T20:43:00Z,Fitbit App
2023-05-02T20:44:00Z,2023-05-02T21:01:00Z,Fitbit App
