start time,end time,data source
2022-11-26T11:27:00Z,2022-11-26T12:05:00Z,Fitbit App
2022-11-26T12:06:00Z,2022-11-26T12:16:00Z,Fitbit App
2022-11-26T12:17:00Z,2022-11-26T12:30:00Z,Fitbit App
2022-11-26T12:35:00Z,2022-11-26T12:58:00Z,Fitbit App
2022-11-26T12:59:00Z,2022-11-26T13:14:00Z,Fitbit App
2022-11-26T13:15:00Z,2022-11-26T13:30:00Z,Fitbit App
2022-11-26T13:44:00Z,2022-11-26T13:56:00Z,Fitbit App
2022-11-26T14:06:00Z,2022-11-26T14:38:00Z,Fitbit App
2022-11-26T14:39:00Z,2022-11-26T15:39:00Z,Fitbit App
2022-11-26T15:50:00Z,2022-11-26T16:20:00Z,Fitbit App
2022-11-26T16:26:00Z,2022-11-26T16:40:00Z,Fitbit App
2022-11-26T19:05:00Z,2022-11-26T20:04:00Z,Fitbit App
2022-11-26T20:06:00Z,2022-11-26T20:46:00Z,Fitbit App
2022-11-26T20:48:00Z,2022-11-26T21:05:00Z,Fitbit App
2022-11-26T21:06:00Z,2022-11-26T23:00:00Z,Fitbit App
2022-11-26T23:00:00Z,2022-11-26T23:51:00Z,Fitbit App
