timestamp,temperature celsius,data source
2026-02-28T02:07:00Z,31.4,Charge 6
2026-02-28T02:08:00Z,31.3,Charge 6
2026-02-28T02:09:00Z,31.2,Charge 6
2026-02-28T02:10:00Z,31.1,Charge 6
2026-02-28T02:11:00Z,31.0,Charge 6
2026-02-28T02:12:00Z,31.0,Charge 6
2026-02-28T02:13:00Z,31.0,Charge 6
2026-02-28T02:14:00Z,30.9,Charge 6
2026-02-28T02:15:00Z,30.9,Charge 6
2026-02-28T02:16:00Z,30.9,Charge 6
2026-02-28T02:17:00Z,30.9,Charge 6
2026-02-28T02:18:00Z,30.9,Charge 6
2026-02-28T02:19:00Z,30.8,Charge 6
2026-02-28T02:20:00Z,30.7,Charge 6
2026-02-28T02:21:00Z,30.7,Charge 6
2026-02-28T02:22:00Z,30.7,Charge 6
2026-02-28T02:23:00Z,30.6,Charge 6
2026-02-28T02:24:00Z,30.6,Charge 6
2026-02-28T02:25:00Z,30.6,Charge 6
2026-02-28T02:26:00Z,30.6,Charge 6
2026-02-28T02:27:00Z,30.7,Charge 6
2026-02-28T02:28:00Z,30.7,Charge 6
2026-02-28T02:29:00Z,30.7,Charge 6
2026-02-28T02:30:00Z,30.7,Charge 6
2026-02-28T02:31:00Z,30.5,Charge 6
2026-02-28T02:32:00Z,30.4,Charge 6
2026-02-28T02:33:00Z,30.3,Charge 6
2026-02-28T02:34:00Z,30.2,Charge 6
2026-02-28T02:35:00Z,30.1,Charge 6
2026-02-28T02:36:00Z,30.1,Charge 6
2026-02-28T02:37:00Z,30.0,Charge 6
2026-02-28T02:38:00Z,30.0,Charge 6
2026-02-28T02:39:00Z,30.0,Charge 6
2026-02-28T02:40:00Z,29.9,Charge 6
2026-02-28T02:41:00Z,29.9,Charge 6
2026-02-28T02:42:00Z,29.9,Charge 6
2026-02-28T02:43:00Z,29.9,Charge 6
2026-02-28T02:44:00Z,29.9,Charge 6
2026-02-28T02:45:00Z,29.9,Charge 6
2026-02-28T02:46:00Z,30.0,Charge 6
2026-02-28T02:47:00Z,30.0,Charge 6
2026-02-28T02:48:00Z,30.1,Charge 6
2026-02-28T02:49:00Z,30.1,Charge 6
2026-02-28T02:50:00Z,30.1,Charge 6
2026-02-28T02:51:00Z,30.1,Charge 6
2026-02-28T02:52:00Z,30.1,Charge 6
2026-02-28T02:53:00Z,30.2,Charge 6
2026-02-28T02:54:00Z,30.2,Charge 6
2026-02-28T02:55:00Z,30.2,Charge 6
