timestamp,floors,data source
2021-01-09T12:49:00Z,1,Fitbit App
2021-01-09T12:52:00Z,1,Fitbit App
2021-01-09T12:53:00Z,2,Fitbit App
2021-01-09T12:54:00Z,1,Fitbit App
2021-01-09T12:55:00Z,1,Fitbit App
2021-01-09T12:56:00Z,3,Fitbit App
2021-01-09T12:57:00Z,2,Fitbit App
2021-01-09T12:58:00Z,2,Fitbit App
2021-01-09T12:59:00Z,3,Fitbit App
2021-01-09T13:00:00Z,2,Fitbit App
2021-01-09T13:01:00Z,3,Fitbit App
2021-01-09T13:02:00Z,2,Fitbit App
2021-01-09T13:03:00Z,2,Fitbit App
2021-01-09T13:04:00Z,2,Fitbit App
2021-01-09T13:05:00Z,2,Fitbit App
2021-01-09T13:06:00Z,2,Fitbit App
2021-01-09T13:07:00Z,2,Fitbit App
2021-01-09T13:08:00Z,3,Fitbit App
2021-01-09T13:09:00Z,1,Fitbit App
2021-01-09T13:10:00Z,1,Fitbit App
2021-01-09T13:13:00Z,1,Fitbit App
2021-01-09T13:14:00Z,1,Fitbit App
2021-01-09T13:15:00Z,1,Fitbit App
2021-01-09T13:16:00Z,2,Fitbit App
2021-01-09T13:17:00Z,1,Fitbit App
2021-01-09T13:18:00Z,1,Fitbit App
2021-01-09T13:19:00Z,1,Fitbit App
2021-01-09T13:20:00Z,2,Fitbit App
2021-01-09T13:21:00Z,1,Fitbit App
2021-01-09T13:22:00Z,1,Fitbit App
2021-01-09T13:24:00Z,1,Fitbit App
2021-01-09T13:25:00Z,2,Fitbit App
2021-01-09T13:26:00Z,2,Fitbit App
2021-01-09T13:53:00Z,1,Fitbit App
2021-01-09T15:17:00Z,2,Fitbit App
2021-01-09T15:46:00Z,1,Fitbit App
2021-01-10T12:06:00Z,1,Fitbit App
2021-01-10T12:07:00Z,2,Fitbit App
2021-01-10T12:08:00Z,2,Fitbit App
2021-01-10T12:09:00Z,2,Fitbit App
2021-01-10T12:10:00Z,1,Fitbit App
2021-01-10T12:14:00Z,3,Fitbit App
2021-01-10T12:15:00Z,2,Fitbit App
2021-01-10T12:16:00Z,3,Fitbit App
2021-01-10T12:17:00Z,1,Fitbit App
2021-01-10T12:18:00Z,3,Fitbit App
2021-01-10T12:19:00Z,2,Fitbit App
2021-01-10T12:20:00Z,3,Fitbit App
2021-01-10T12:21:00Z,1,Fitbit App
2021-01-10T12:22:00Z,1,Fitbit App
2021-01-10T12:23:00Z,2,Fitbit App
2021-01-10T12:24:00Z,1,Fitbit App
2021-01-10T12:25:00Z,2,Fitbit App
2021-01-10T12:26:00Z,2,Fitbit App
2021-01-10T12:27:00Z,1,Fitbit App
2021-01-10T12:28:00Z,2,Fitbit App
2021-01-10T12:29:00Z,2,Fitbit App
2021-01-10T12:30:00Z,2,Fitbit App
2021-01-10T12:31:00Z,1,Fitbit App
2021-01-10T12:40:00Z,2,Fitbit App
2021-01-10T12:41:00Z,2,Fitbit App
2021-01-10T12:42:00Z,3,Fitbit App
2021-01-10T12:43:00Z,3,Fitbit App
2021-01-10T12:44:00Z,2,Fitbit App
2021-01-10T13:08:00Z,2,Fitbit App
2021-01-10T13:10:00Z,3,Fitbit App
2021-01-10T13:18:00Z,1,Fitbit App
2021-01-10T13:19:00Z,3,Fitbit App
2021-01-10T13:20:00Z,3,Fitbit App
2021-01-10T13:22:00Z,1,Fitbit App
2021-01-10T13:24:00Z,1,Fitbit App
2021-01-10T13:25:00Z,2,Fitbit App
2021-01-10T13:26:00Z,1,Fitbit App
2021-01-10T13:27:00Z,1,Fitbit App
2021-01-10T13:37:00Z,1,Fitbit App
2021-01-10T13:38:00Z,2,Fitbit App
2021-01-10T13:39:00Z,2,Fitbit App
2021-01-10T13:52:00Z,1,Fitbit App
2021-01-10T13:53:00Z,1,Fitbit App
2021-01-10T13:54:00Z,2,Fitbit App
2021-01-10T13:55:00Z,1,Fitbit App
2021-01-10T14:02:00Z,1,Fitbit App
2021-01-10T14:17:00Z,2,Fitbit App
2021-01-10T14:18:00Z,2,Fitbit App
2021-01-10T14:19:00Z,2,Fitbit App
2021-01-10T14:20:00Z,2,Fitbit App
2021-01-10T14:21:00Z,1,Fitbit App
2021-01-10T14:50:00Z,1,Fitbit App
2021-01-10T17:02:00Z,2,Fitbit App
2021-01-10T17:23:00Z,2,Fitbit App
2021-01-10T18:47:00Z,1,Fitbit App
2021-01-10T18:48:00Z,2,Fitbit App
2021-01-10T18:49:00Z,2,Fitbit App
2021-01-11T10:19:00Z,1,Fitbit App
2021-01-11T15:14:00Z,1,Fitbit App
2021-01-11T15:15:00Z,2,Fitbit App
2021-01-11T15:40:00Z,1,Fitbit App
2021-01-11T15:58:00Z,1,Fitbit App
2021-01-11T16:00:00Z,1,Fitbit App
2021-01-11T16:02:00Z,1,Fitbit App
2021-01-11T16:05:00Z,1,Fitbit App
2021-01-11T16:07:00Z,1,Fitbit App
2021-01-11T17:13:00Z,1,Fitbit App
2021-01-11T17:35:00Z,1,Fitbit App
2021-01-11T17:36:00Z,1,Fitbit App
2021-01-11T17:37:00Z,1,Fitbit App
2021-01-11T18:04:00Z,1,Fitbit App
2021-01-12T06:11:00Z,1,Fitbit App
2021-01-12T10:03:00Z,1,Fitbit App
2021-01-12T10:49:00Z,1,Fitbit App
2021-01-12T10:55:00Z,1,Fitbit App
2021-01-12T14:34:00Z,1,Fitbit App
2021-01-12T14:35:00Z,1,Fitbit App
2021-01-12T14:36:00Z,1,Fitbit App
2021-01-13T12:02:00Z,1,Fitbit App
2021-01-13T12:31:00Z,1,Fitbit App
2021-01-13T12:33:00Z,1,Fitbit App
2021-01-13T12:44:00Z,1,Fitbit App
2021-01-13T12:46:00Z,1,Fitbit App
2021-01-13T12:53:00Z,1,Fitbit App
2021-01-13T12:54:00Z,1,Fitbit App
2021-01-13T12:55:00Z,2,Fitbit App
2021-01-13T12:56:00Z,2,Fitbit App
2021-01-13T12:57:00Z,2,Fitbit App
2021-01-13T13:03:00Z,1,Fitbit App
2021-01-13T13:11:00Z,1,Fitbit App
2021-01-13T13:12:00Z,1,Fitbit App
2021-01-13T13:18:00Z,1,Fitbit App
2021-01-13T18:52:00Z,1,Fitbit App
2021-01-14T17:31:00Z,1,Fitbit App
2021-01-14T17:40:00Z,2,Fitbit App
2021-01-14T17:41:00Z,2,Fitbit App
2021-01-14T17:42:00Z,1,Fitbit App
2021-01-14T17:43:00Z,1,Fitbit App
2021-01-14T17:44:00Z,2,Fitbit App
2021-01-14T17:45:00Z,1,Fitbit App
2021-01-14T17:46:00Z,1,Fitbit App
2021-01-14T17:47:00Z,1,Fitbit App
2021-01-14T17:49:00Z,1,Fitbit App
2021-01-14T17:50:00Z,1,Fitbit App
2021-01-14T17:51:00Z,2,Fitbit App
2021-01-14T17:52:00Z,1,Fitbit App
2021-01-14T17:53:00Z,1,Fitbit App
2021-01-14T17:54:00Z,1,Fitbit App
2021-01-14T18:09:00Z,1,Fitbit App
2021-01-14T18:10:00Z,1,Fitbit App
2021-01-14T18:34:00Z,2,Fitbit App
2021-01-14T18:35:00Z,3,Fitbit App
2021-01-14T18:42:00Z,1,Fitbit App
2021-01-14T18:47:00Z,1,Fitbit App
2021-01-15T07:56:00Z,1,Fitbit App
2021-01-15T07:57:00Z,2,Fitbit App
2021-01-15T08:12:00Z,1,Fitbit App
2021-01-15T08:14:00Z,2,Fitbit App
2021-01-15T08:31:00Z,1,Fitbit App
2021-01-15T08:34:00Z,1,Fitbit App
2021-01-15T08:35:00Z,1,Fitbit App
2021-01-15T12:45:00Z,1,Fitbit App
2021-01-15T13:10:00Z,2,Fitbit App
2021-01-15T13:11:00Z,2,Fitbit App
2021-01-15T13:12:00Z,1,Fitbit App
2021-01-15T13:13:00Z,2,Fitbit App
2021-01-15T13:14:00Z,2,Fitbit App
2021-01-15T13:15:00Z,2,Fitbit App
2021-01-15T13:17:00Z,1,Fitbit App
2021-01-15T13:19:00Z,1,Fitbit App
2021-01-15T13:24:00Z,1,Fitbit App
2021-01-15T13:33:00Z,1,Fitbit App
2021-01-15T13:36:00Z,1,Fitbit App
2021-01-15T13:41:00Z,2,Fitbit App
2021-01-16T12:49:00Z,1,Fitbit App
2021-01-16T12:50:00Z,1,Fitbit App
2021-01-16T12:59:00Z,1,Fitbit App
2021-01-16T13:03:00Z,1,Fitbit App
2021-01-16T13:26:00Z,1,Fitbit App
2021-01-16T13:44:00Z,1,Fitbit App
2021-01-16T14:23:00Z,3,Fitbit App
2021-01-16T14:27:00Z,2,Fitbit App
2021-01-16T14:45:00Z,3,Fitbit App
2021-01-16T15:03:00Z,3,Fitbit App
2021-01-16T15:08:00Z,1,Fitbit App
2021-01-16T15:24:00Z,1,Fitbit App
2021-01-16T15:42:00Z,1,Fitbit App
2021-01-16T15:50:00Z,2,Fitbit App
2021-01-16T15:51:00Z,1,Fitbit App
2021-01-16T15:52:00Z,1,Fitbit App
2021-01-16T15:53:00Z,2,Fitbit App
2021-01-16T15:54:00Z,2,Fitbit App
2021-01-16T15:55:00Z,2,Fitbit App
2021-01-16T15:56:00Z,1,Fitbit App
2021-01-16T15:58:00Z,1,Fitbit App
2021-01-16T16:03:00Z,2,Fitbit App
2021-01-16T16:04:00Z,1,Fitbit App
2021-01-16T16:05:00Z,1,Fitbit App
2021-01-16T16:43:00Z,1,Fitbit App
2021-01-17T11:43:00Z,1,Fitbit App
2021-01-17T11:59:00Z,1,Fitbit App
2021-01-17T12:26:00Z,1,Fitbit App
2021-01-17T14:34:00Z,2,Fitbit App
2021-01-17T14:50:00Z,1,Fitbit App
2021-01-17T14:51:00Z,1,Fitbit App
2021-01-17T14:52:00Z,2,Fitbit App
2021-01-17T14:53:00Z,1,Fitbit App
2021-01-17T14:55:00Z,1,Fitbit App
2021-01-17T15:09:00Z,1,Fitbit App
2021-01-17T15:10:00Z,1,Fitbit App
2021-01-18T15:52:00Z,1,Fitbit App
2021-01-18T15:59:00Z,1,Fitbit App
2021-01-18T16:00:00Z,2,Fitbit App
2021-01-18T16:01:00Z,2,Fitbit App
2021-01-18T16:07:00Z,1,Fitbit App
2021-01-18T16:08:00Z,1,Fitbit App
2021-01-18T16:21:00Z,2,Fitbit App
2021-01-18T16:22:00Z,1,Fitbit App
2021-01-18T16:23:00Z,2,Fitbit App
2021-01-18T16:24:00Z,1,Fitbit App
2021-01-18T16:25:00Z,1,Fitbit App
2021-01-18T16:26:00Z,2,Fitbit App
2021-01-18T16:27:00Z,1,Fitbit App
2021-01-18T16:28:00Z,1,Fitbit App
2021-01-18T16:29:00Z,1,Fitbit App
2021-01-18T16:30:00Z,1,Fitbit App
