timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2023-07-01T00:00:00Z,93.9,93.5,93.9,95.8,1.3,Charge 5
2023-07-03T00:00:00Z,97.0,93.6,99.8,95.9,1.2,Charge 5
2023-07-04T00:00:00Z,97.1,97.1,97.7,96.0,1.2,Charge 5
2023-07-05T00:00:00Z,96.5,93.3,99.3,96.0,1.2,Charge 5
2023-07-07T00:00:00Z,95.1,92.3,97.2,96.0,1.2,Charge 5
2023-07-08T00:00:00Z,93.6,93.3,96.0,95.9,1.3,Charge 5
2023-07-10T00:00:00Z,94.5,90.1,99.0,95.9,1.3,Charge 5
2023-07-13T00:00:00Z,94.4,93.9,95.1,95.8,1.3,Charge 5
2023-07-14T00:00:00Z,96.3,93.2,99.0,95.9,1.3,Charge 5
2023-07-19T00:00:00Z,97.1,95.3,99.2,95.9,1.3,Charge 5
2023-07-20T00:00:00Z,94.5,94.5,94.5,95.9,1.3,Charge 5
2023-07-21T00:00:00Z,97.2,96.1,98.3,95.9,1.3,Charge 5
2023-07-22T00:00:00Z,95.8,93.6,98.8,95.9,1.3,Charge 5
2023-07-28T00:00:00Z,96.6,93.3,99.4,95.9,1.3,Charge 5
2023-07-29T00:00:00Z,93.2,93.2,93.3,95.8,1.4,Charge 5
2023-07-30T00:00:00Z,91.8,89.5,94.7,95.8,1.5,Charge 5
2023-07-31T00:00:00Z,95.5,94.3,96.6,95.8,1.5,Charge 5
