timestamp,steps,distance millimeters,altitude gain millimeters,data source
2021-03-13T19:14:11Z,0,0,0,Charge 4
2021-03-13T19:14:12Z,3,0,0,Charge 4
2021-03-13T19:14:13Z,2,0,0,Charge 4
2021-03-13T19:14:14Z,2,0,0,Charge 4
2021-03-13T19:14:15Z,2,0,0,Charge 4
2021-03-13T19:14:16Z,4,110,-609,Charge 4
2021-03-13T19:14:17Z,3,270,304,Charge 4
2021-03-13T19:14:18Z,3,490,-609,Charge 4
2021-03-13T19:14:19Z,4,1090,-304,Charge 4
2021-03-13T19:14:20Z,1,1390,1219,Charge 4
2021-03-13T19:14:21Z,1,0,0,Charge 4
2021-03-13T19:14:22Z,0,0,304,Charge 4
2021-03-13T19:14:23Z,2,3490,-304,Charge 4
2021-03-13T19:14:24Z,2,950,609,Charge 4
2021-03-13T19:14:25Z,2,960,-1219,Charge 4
2021-03-13T19:14:26Z,2,1270,-609,Charge 4
2021-03-13T19:14:27Z,2,1420,304,Charge 4
2021-03-13T19:14:41Z,0,0,0,Charge 4
2021-03-13T19:14:42Z,3,0,0,Charge 4
2021-03-13T19:14:43Z,2,0,0,Charge 4
2021-03-13T19:14:44Z,2,0,0,Charge 4
2021-03-13T19:14:45Z,1,0,609,Charge 4
2021-03-13T19:15:05Z,0,0,0,Charge 4
2021-03-13T19:15:06Z,0,0,0,Charge 4
2021-03-13T19:15:07Z,2,0,0,Charge 4
2021-03-13T19:15:08Z,2,0,0,Charge 4
2021-03-13T19:15:09Z,4,250,0,Charge 4
2021-03-13T19:15:10Z,1,280,0,Charge 4
2021-03-13T19:15:11Z,4,470,0,Charge 4
2021-03-13T19:15:12Z,2,680,0,Charge 4
2021-03-13T19:15:13Z,2,810,-304,Charge 4
2021-03-13T19:15:14Z,2,810,-304,Charge 4
2021-03-13T19:15:15Z,2,940,304,Charge 4
2021-03-13T19:15:16Z,2,1080,-1219,Charge 4
2021-03-13T19:15:17Z,2,1120,304,Charge 4
2021-03-13T19:15:18Z,2,1160,-1524,Charge 4
2021-03-13T19:15:19Z,2,1420,914,Charge 4
2021-03-13T19:15:20Z,2,1430,914,Charge 4
2021-03-13T19:15:21Z,3,1490,0,Charge 4
2021-03-13T19:15:22Z,3,1560,609,Charge 4
2021-03-13T19:15:23Z,3,2290,-2133,Charge 4
2021-03-13T19:15:24Z,3,2440,1219,Charge 4
2021-03-13T19:15:25Z,2,2550,914,Charge 4
2021-03-13T19:15:26Z,3,2630,-1524,Charge 4
2021-03-13T19:15:27Z,3,2690,1219,Charge 4
2021-03-13T19:15:28Z,3,2750,304,Charge 4
